date,BAA10Y,HY_OAS_3Y,NFCI,Real_Yield,DXY,CFNAI,INDPRO_YoY,Copper_Gold,HYG,SPY,QQQ,SMH,SOXX,IGV,XLE,OIL,ADBE,CDNS,CRM,CRWD,DDOG,FTNT,INTU,MSFT,NOW,ORCL,PANW,PLTR,SNOW,SNPS,WDAY,LPPLS_R2,Score_Dynamics,Log_Trend,Valuation_Residual,Score_Valuation,Breadth_50,High_60,Price_Ratio_High,Score_Breadth,Ratio_QQQ,Score_Relative,Composite_Radar_Score,MA10,MA20,MA50,MA200,Dist_200MA,Above_MA20_Conf,Above_MA50_Conf,Below_MA50_3D,Cond_Panic,Cond_Bubble,Cond_Bear,Sell_Signal
2010-01-04,2.54,,-0.175,1.47,92.3566,0.16,0.87230439200634,0.00303122497938,33.888126373291016,84.5784683227539,40.24655532836914,12.062424659729004,14.003149032592772,9.243746757507324,17.144620895385742,81.51000213623047,37.09000015258789,6.119999885559082,18.38689613342285,,,1.7999999523162842,26.940757751464844,22.984241485595703,,19.878217697143555,,,,22.440000534057617,,0.0,,2.1402745692130103,8.367272748714116,,0.0,,,,0.2296779608115072,,,,,,,,False,False,False,False,False,False,False
2010-01-05,2.53,,-0.175,1.43,92.2236,0.16,0.87230439200634,0.0030372953962972,34.04888916015625,84.80236053466797,40.24655532836914,11.99449348449707,13.98065948486328,9.251509666442873,17.28455352783203,81.7699966430664,37.70000076293945,6.059999942779541,18.308258056640625,,,1.83899998664856,26.940757751464844,22.99165725708008,,19.854209899902344,,,,22.25,,0.0,,2.140913364596725,8.387338079377882,,0.0,,,,0.22987084462161747,,,,,,,,False,False,False,False,False,False,False
2010-01-06,2.49,,-0.175,1.48,92.0941,0.16,0.87230439200634,0.0030614489718378,34.13689422607422,84.8620834350586,40.003814697265625,11.964773178100586,13.938508987426758,9.20493221282959,17.491535186767578,83.18000030517578,37.619998931884766,6.130000114440918,18.276309967041016,,,1.940999984741211,26.564756393432617,22.850566864013672,,19.56623268127441,,,,22.209999084472656,,0.0,,2.14155215998044,7.8187290509054375,,0.0,,,,0.23010136114491034,,,,,,,,False,False,False,False,False,False,False
2010-01-07,2.48,,-0.175,1.44,92.3684,0.16,0.87230439200634,0.0030107669672728,34.27472686767578,85.2203140258789,40.02981185913086,11.87136459350586,13.8289155960083,9.158349990844728,17.46529769897461,82.66000366210938,36.88999938964844,6.25,18.195215225219727,,,1.9450000524520876,26.47732162475586,22.6129207611084,,19.502254486083984,,,,22.149999618530277,,0.0,,2.1421909553641547,7.247507509231577,,0.0,,,,0.22878823470552223,,,,,,,,False,False,False,False,False,False,False
2010-01-08,2.49,,-0.196,1.41,92.1485,0.16,0.87230439200634,0.0029766299040479,34.32830810546875,85.50390625,40.35927581787109,12.109130859375,14.036866188049316,9.218514442443848,17.57900047302246,82.75,36.68999862670898,6.340000152587891,18.222246170043945,,,2.010999917984009,27.17684936523437,22.768878936767575,,19.74221611022949,,,,22.309999465942383,,0.0,,2.1428297507478695,7.838415045967473,,0.0,,,,0.228411294693298,,,,,,,,False,False,False,False,False,False,False
2010-01-11,2.47,,-0.196,1.47,91.5997,0.16,0.87230439200634,0.0029794908164946,34.29770278930664,85.62329864501953,40.19453811645508,12.066672325134276,13.994712829589844,9.179701805114746,17.555679321289062,82.5199966430664,36.209999084472656,6.340000152587891,18.09937286376953,,,2.005000114440918,27.29926300048828,22.4792537689209,,19.75021743774414,,,,22.1200008392334,,0.0,,2.1434685461315843,7.352617487025848,,0.0,,,,0.22838182089612583,,,,,,,,False,False,False,False,False,False,False
2010-01-12,2.48,,-0.196,1.35,91.7005,0.16,0.87230439200634,0.0029564177723352,34.12160110473633,84.82479858398438,39.69167709350586,11.63784408569336,13.50574016571045,9.034143447875977,17.302047729492188,80.79000091552734,35.65999984741211,6.199999809265137,16.78215789794922,,,1.9789999723434448,27.29926300048828,22.33072662353516,,19.64622688293457,,,,21.799999237060547,,0.0,,2.144107341515299,5.69037742578602,,0.0,,,,0.2276080052398213,,,,,,,,False,False,False,False,False,False,False
2010-01-13,2.5,,-0.196,1.43,91.7272,0.16,0.87230439200634,0.0029809045889719,34.19816207885742,85.54119873046875,40.18586730957031,11.786447525024414,13.663115501403809,9.146709442138672,17.366178512573242,79.6500015258789,36.27999877929688,6.389999866485596,16.833765029907227,,,1.944000005722046,27.61404800415039,22.53866004943848,,19.83821678161621,,,,22.01000022888184,,0.0,,2.144746136899014,6.864805389828499,,0.0,,,,0.22761010411141164,,,,,,,,False,False,False,False,False,False,False
2010-01-14,2.46,,-0.196,1.4,91.5864,0.16,0.87230439200634,0.0029546647992789,34.23644256591797,85.77257537841797,40.220550537109375,11.803431510925291,13.637822151184082,9.232100486755373,17.415742874145508,79.38999938964844,35.900001525878906,6.320000171661377,17.00333595275879,,,1.9900000095367432,27.7889404296875,22.99165725708008,,20.31112670898437,,,,22.190000534057617,,0.0,,2.1453849322827283,7.730166203766187,,0.0,,,,0.22953690000432495,,,,,,,,False,False,False,False,False,False,False
2010-01-15,2.48,,-0.206,1.34,91.7668,0.16,0.87230439200634,0.0029687639072233,34.098655700683594,84.80985260009766,39.75236511230469,11.434041976928713,13.19381046295166,9.162233352661133,17.275808334350586,78.0,35.869998931884766,6.21999979019165,16.86571502685547,,,1.963000059127808,27.50912094116211,22.91739845275879,,20.230966567993164,,,,21.96999931335449,,0.0,,2.146023727666443,6.906623709405579,,0.0,,,,0.23048272289653315,,,9.183194160461426,,,,,False,False,False,False,False,False,False
