date,BAA10Y,HY_OAS_3Y,NFCI,Real_Yield,DXY,CFNAI,INDPRO_YoY,Copper_Gold,HYG,SPY,QQQ,SMH,SOXX,IGV,XLE,OIL,APA,AR,BKR,BP,CHK,CHX,COP,CTRA,CVX,DVN,EOG,EPD,EQNR,EQT,ET,FANG,FTI,HAL,HES,KMI,MPC,MPLX,MRO,MUR,NBR,NOV,OKE,OVV,OXY,PSX,PTEN,RIG,SHEL,SLB,SM,TRGP,TTE,VLO,WHD,WMB,XOM,Score_Dynamics,Ratio_XLE_OIL,Ratio_XLE_OIL_Z,Score_Valuation,Breadth_Integrated,Breadth_E&P,Breadth_Services,Breadth_Refining_Midstream,Breadth_50,Capex_Spread,Capex_Overheat,High_60,Price_Ratio_High,Score_Breadth,Ratio_SPY,Score_Relative,Composite_Radar_Score,MA10,MA20,MA50,MA200,Dist_200MA,Price_Z,OIL_Z,DXY_Z,Macro_Anchor_Z,Dynamic_Beta,Expected_Price_Z,Gap,Gap_Max_45,PriceZ_Max_45,Gap_Median,Gap_Upper,Above_MA20_Conf,Above_MA50_Conf,Below_MA50_3D,Cond_Panic,Cond_Bubble,Macro_Crisis,Cond_Bear,Sell_Signal
2007-04-11,1.71,,-0.565,2.28,96.0293,-0.09,2.9076019270608766,0.0052829492847713,31.223073959350582,101.1222915649414,37.89363861083984,14.635403633117676,16.857606887817383,8.92352294921875,17.34920883178711,62.0099983215332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27978078541496554,,,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,0.17156661071753238,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
2007-04-12,1.71,,-0.565,2.28,95.7999,-0.09,2.9076019270608766,0.0051740485214592,31.24401092529297,101.57170104980467,38.19361877441406,14.7075834274292,17.03061294555664,9.008913040161133,17.61473274230957,63.84999847412109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275876748700025,,,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,0.17342165741294774,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
2007-04-13,1.7,,-0.561,2.31,95.711,-0.09,2.9076019270608766,0.0051495475370703,31.18718147277832,102.0351333618164,38.27074813842773,14.635403633117676,16.997663497924805,8.991449356079102,17.62312126159668,63.630001068115234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2769624107519221,,,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,0.17271620745675043,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
2007-04-16,1.68,,-0.561,2.3,95.5538,-0.09,2.9076019270608766,0.0051166497954336,31.17520332336425,103.0040512084961,38.62217712402344,14.728812217712402,17.118480682373047,9.092368125915527,17.726543426513672,63.61000061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2786753728921552,,,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,0.17209559447940947,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
2007-04-17,1.68,,-0.561,2.29,95.3832,-0.09,2.9076019270608766,0.0053385643121585,31.160234451293945,103.2778549194336,38.70790863037109,14.699091911315918,17.102006912231445,9.109835624694824,17.625919342041016,63.09999847412109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2793330740877769,,,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,0.17066504097892898,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
2007-04-18,1.67,,-0.561,2.26,95.3109,-0.09,2.9076019270608766,0.0052459732079701,31.16922950744629,103.40430450439452,38.57933044433594,15.10669231414795,17.4589786529541,9.078783988952637,17.564422607421875,63.130001068115234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27822619242804236,,,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,0.16986161931658672,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
2007-04-19,1.67,,-0.561,2.27,95.2712,-0.09,2.9076019270608766,0.0052374692014615,31.276939392089844,103.37620544433594,38.6993293762207,15.29350757598877,17.563323974609375,9.016678810119627,17.318452835083008,61.83000183105469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28009784119731734,,,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,0.1675284245600243,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
2007-04-20,1.68,,-0.556,2.27,95.1692,-0.09,2.9076019270608766,0.0052117050727667,31.25898551940918,104.3521499633789,38.91358947753906,15.382670402526855,17.629234313964844,9.082663536071776,17.637094497680664,63.380001068115234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2782753458140907,,,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,0.16901515209672424,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
2007-04-23,1.68,,-0.556,2.25,95.1833,-0.09,2.9076019270608766,0.005257023177739,31.276939392089844,103.958984375,38.97360610961914,15.272283554077148,17.494678497314453,9.0768404006958,17.65666389465332,65.88999938964844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26797179205482474,,,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,0.16984259706657334,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
2007-04-24,1.68,,-0.556,2.21,95.1608,-0.09,2.9076019270608766,0.0051885411999117,31.49236869812012,104.0010986328125,39.1707649230957,15.769041061401367,17.928539276123047,9.05549430847168,17.603557586669922,64.58000183105469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27258523322544315,,,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,0.16926318873631566,,,17.571971702575684,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
