date,BAA10Y,HY_OAS_3Y,NFCI,Real_Yield,DXY,CFNAI,INDPRO_YoY,Copper_Gold,HYG,SPY,QQQ,SMH,SOXX,IGV,XLE,OIL,AMT,ARE,AVB,BXP,CCI,DHI,DLR,EQIX,EQR,ESS,EXR,INVH,IYR,KIM,KRC,LEN,MAA,NNN,NVR,O,PHM,PLD,PSA,REXR,SLG,SPG,TOL,VNO,VNQ,VTR,WELL,XLRE,MA10,MA20,MA50,MA200,Dist_200MA,Score_Dynamics,Score_Valuation,Breadth_Telecom_Data,Breadth_Industrial_Storage,Breadth_Retail_Health,Breadth_Residential,Breadth_Homebuilders,Breadth_Office_CRE,Breadth_50,Homebuilder_CRE_Spread,High_60,Score_Breadth,Ratio_SPY,Score_Relative,Composite_Radar_Score,Below_MA50_3D,Below_MA200_3D,Above_MA20_Conf,Above_MA50_Conf,Cond_Panic,Recently_Crashed,Cond_Bubble,Cond_Bear,Sell_Signal
2007-04-11,1.71,,-0.565,2.28,96.0293,-0.09,2.9076019270608766,0.0052829492847713,31.223073959350582,101.1222915649414,37.89363861083984,14.635403633117676,16.857606887817383,8.92352294921875,17.34920883178711,62.0099983215332,28.31108856201172,51.7728271484375,,53.09236526489258,19.631872177124023,16.572710037231445,18.910728454589844,64.42832946777344,,65.69888305664062,8.753119468688965,,42.64117813110352,18.855632781982425,33.66590118408203,31.518430709838867,25.661325454711918,8.518330574035645,681.0,10.01109790802002,21.238195419311523,31.61187171936035,46.616058349609375,,65.15258026123047,45.47623825073242,24.69986724853516,41.66462326049805,35.49407196044922,20.25519752502441,18.67556571960449,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3510014598280211,,,False,False,False,False,False,False,False,False,False
2007-04-12,1.71,,-0.565,2.28,95.7999,-0.09,2.9076019270608766,0.0051740485214592,31.24401092529297,101.57170104980467,38.19361877441406,14.7075834274292,17.03061294555664,9.008913040161133,17.61473274230957,63.84999847412109,28.296743392944336,51.13007354736328,,52.67786407470703,20.07237243652344,16.99227523803711,18.816150665283203,64.96266174316406,,65.0111312866211,8.720595359802246,,42.41674423217773,18.75373268127441,33.51972579956055,32.00298309326172,25.41902732849121,8.504165649414062,695.5,9.98221492767334,21.77807235717773,31.426687240600582,46.136905670166016,,65.10519409179688,45.1796760559082,25.06959724426269,41.629661560058594,35.25251007080078,20.06670379638672,18.236330032348636,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3470701948125794,,,False,False,False,False,False,False,False,False,False
2007-04-13,1.7,,-0.561,2.31,95.711,-0.09,2.9076019270608766,0.0051495475370703,31.18718147277832,102.0351333618164,38.27074813842773,14.635403633117676,16.997663497924805,8.991449356079102,17.62312126159668,63.630001068115234,28.354114532470703,51.58408737182617,,52.98306274414063,20.328332901000977,16.681488037109375,19.028949737548828,64.57471466064453,,65.56444549560547,8.813523292541504,,42.88055038452149,18.9888916015625,33.88975143432617,31.61842536926269,25.684175491333008,8.582054138183594,692.5,10.108572959899902,21.3960018157959,31.98750686645508,46.4184684753418,,65.9391860961914,45.94750595092773,25.015493392944336,42.0877799987793,35.650604248046875,20.11020851135254,18.248762130737305,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.34939538052672403,,,False,False,False,False,False,False,False,False,False
2007-04-16,1.68,,-0.561,2.3,95.5538,-0.09,2.9076019270608766,0.0051166497954336,31.17520332336425,103.0040512084961,38.62217712402344,14.728812217712402,17.118480682373047,9.092368125915527,17.726543426513672,63.61000061035156,28.325439453125,51.53308868408203,,52.7780876159668,20.542627334594727,16.844654083251953,19.000581741333008,65.14564514160156,,65.4403305053711,8.855331420898438,,42.87057495117188,18.9888916015625,34.01308059692383,31.93375015258789,25.679616928100582,8.67410659790039,716.0,10.1591157913208,21.678401947021484,32.09331130981445,46.18629455566406,,65.95817565917969,45.63466644287109,25.43031883239746,42.14023971557617,35.69536590576172,20.13436889648437,18.38964462280273,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3465433202574605,,,False,False,False,False,False,False,False,False,False
2007-04-17,1.68,,-0.561,2.29,95.3832,-0.09,2.9076019270608766,0.0053385643121585,31.160234451293945,103.2778549194336,38.70790863037109,14.699091911315918,17.102006912231445,9.109835624694824,17.625919342041016,63.09999847412109,28.51187896728516,52.2115478515625,,53.45674133300781,20.62597274780273,17.442916870117188,18.986387252807617,64.94068908691406,,66.78485107421875,8.9807767868042,,43.4840202331543,19.173093795776367,34.2825927734375,32.7874641418457,25.780181884765625,8.755538940429688,711.5,10.314351081848145,22.160133361816406,32.73878479003906,47.584232330322266,,67.01490783691406,46.532470703125,25.96236801147461,42.46895980834961,36.160552978515625,20.501680374145508,18.53881072998047,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.35012881519202976,,,False,False,False,False,False,False,False,False,False
2007-04-18,1.67,,-0.561,2.26,95.3109,-0.09,2.9076019270608766,0.0052459732079701,31.16922950744629,103.40430450439452,38.57933044433594,15.10669231414795,17.4589786529541,9.078783988952637,17.564422607421875,63.130001068115234,28.56206512451172,52.02788925170898,,53.09692001342773,20.71525382995605,17.901334762573242,18.64118385314941,63.923248291015625,,66.5676040649414,8.911087989807129,,43.32942581176758,19.000646591186523,34.154693603515625,33.787330627441406,25.41902732849121,8.705973625183105,728.5499877929688,10.238537788391112,23.21499252319336,32.58005905151367,47.51016616821289,,66.15718841552734,46.25624847412109,26.449337005615234,41.94089126586914,35.936885833740234,20.516172409057617,18.493240356445312,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.34753761950222267,,,False,False,False,False,False,False,False,False,False
2007-04-19,1.67,,-0.561,2.27,95.2712,-0.09,2.9076019270608766,0.0052374692014615,31.276939392089844,103.37620544433594,38.6993293762207,15.29350757598877,17.563323974609375,9.016678810119627,17.318452835083008,61.83000183105469,28.325439453125,51.61980056762695,,52.91016006469727,20.703350067138672,17.854705810546875,18.513500213623047,62.5764274597168,,66.44866180419922,8.855331420898438,,42.95536422729492,18.977128982543945,33.885162353515625,33.61043930053711,25.22242927551269,8.663483619689941,721.7999877929688,10.130230903625488,22.9907283782959,32.43193054199219,47.233516693115234,,66.2567138671875,46.024662017822266,26.35013008117676,42.00034713745117,35.69536590576172,20.54517936706543,18.35649299621582,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3452957646523627,,,False,False,False,False,False,False,False,False,False
2007-04-20,1.68,,-0.556,2.27,95.1692,-0.09,2.9076019270608766,0.0052117050727667,31.25898551940918,104.3521499633789,38.91358947753906,15.382670402526855,17.629234313964844,9.082663536071776,17.637094497680664,63.380001068115234,28.117477416992188,52.44621658325195,,52.99671936035156,20.792644500732425,18.173267364501957,18.939111709594727,62.70816040039063,,67.09506225585938,8.915732383728027,,43.424163818359375,19.13782119750977,34.23233413696289,34.102657318115234,25.53789329528809,8.720138549804688,797.0,10.23493194580078,23.58874893188477,32.8763313293457,47.27797317504883,,66.3561782836914,46.48375701904297,26.710851669311523,42.40600204467773,35.96372985839844,20.704666137695312,18.559541702270508,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.34463813032141133,,,False,False,False,False,False,False,False,False,False
2007-04-23,1.68,,-0.556,2.25,95.1833,-0.09,2.9076019270608766,0.005257023177739,31.276939392089844,103.958984375,38.97360610961914,15.272283554077148,17.494678497314453,9.0768404006958,17.65666389465332,65.88999938964844,27.823467254638672,53.37461853027344,,53.67992401123047,20.721210479736328,17.55168914794922,18.986387252807617,63.72563552856445,,68.1810073852539,8.943607330322266,,43.793212890625,19.42000770568848,34.940364837646484,33.195106506347656,25.79847717285156,8.78740406036377,775.0,10.440714836120604,23.223291397094727,33.15674591064453,47.96456909179688,,67.57877349853516,47.47500991821289,26.30504608154297,42.85713958740234,36.366302490234375,20.864152908325195,18.65898323059082,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3498139454600109,,,False,False,False,False,False,False,False,False,False
2007-04-24,1.68,,-0.556,2.21,95.1608,-0.09,2.9076019270608766,0.0051885411999117,31.49236869812012,104.0010986328125,39.1707649230957,15.769041061401367,17.928539276123047,9.05549430847168,17.603557586669922,64.58000183105469,28.038589477539062,53.97148895263672,,53.174354553222656,20.6497802734375,17.505069732666016,18.92017936706543,64.07696533203125,,67.86557006835938,8.948257446289062,,43.49397659301758,19.28282928466797,34.606910705566406,33.25664520263672,25.5333194732666,8.798026084899902,785.0,10.361281394958496,23.107017517089844,32.86576843261719,47.44097900390625,,67.32290649414062,47.0200080871582,26.539512634277344,42.43748474121094,36.12029647827149,20.583852767944336,18.50566673278809,,35.83356857299805,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3473068741879183,,,False,False,False,False,False,False,False,False,False
2007-04-25,1.68,,-0.556,2.22,94.8497,-0.09,2.9076019270608766,0.0052404621635549,31.540254592895508,104.95597076416016,39.69359970092773,16.006811141967773,18.09605598449707,9.109835624694824,17.933380126953125,65.83999633789062,28.01708030700684,54.2724609375,,53.39299774169922,20.92955207824707,17.598308563232422,18.962751388549805,63.05218505859375,,68.06204986572266,9.017945289611816,,43.5538215637207,19.36122131347656,34.68000793457031,33.17972183227539,25.56989288330078,8.759075164794922,797.25,10.361281394958496,23.173458099365234,32.8287353515625,47.544708251953125,,67.07176971435547,47.00375747680664,26.656742095947266,42.55989837646485,36.097930908203125,20.429182052612305,18.555391311645508,,35.89395446777344,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.34393403867719424,,,False,False,False,False,False,False,False,False,False
2007-04-26,1.69,,-0.556,2.26,95.1653,-0.09,2.9076019270608766,0.0051666911578248,31.59711456298828,105.07537841796876,39.8993034362793,15.930383682250977,18.090559005737305,9.14865016937256,17.92779541015625,65.05999755859375,27.665700912475582,54.54790878295898,,53.506874084472656,20.89978790283203,18.250965118408203,19.17554473876953,63.87202835083008,,68.4188461303711,8.962196350097656,,43.613677978515625,19.27499008178711,34.844444274902344,33.98732376098633,25.61103820800781,8.789609909057617,842.0,10.339616775512695,23.9376163482666,32.77581024169922,47.33724594116211,,67.02909088134766,47.06064224243164,27.58557891845703,42.48993682861328,36.12029647827149,20.390520095825195,18.8330192565918,,35.98073310852051,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.34375604468053594,,,False,False,False,False,False,False,False,False,False
2007-04-27,1.68,,-0.548,2.25,95.0103,-0.09,2.9076019270608766,0.0051782817732632,31.59711456298828,104.9911117553711,39.91645050048828,15.739319801330566,17.821449279785156,9.164173126220703,17.92499542236328,66.45999908447266,27.70872688293457,54.67545700073242,,54.16731262207031,20.83431053161621,17.808095932006836,19.24647521972656,64.7723388671875,,68.59986877441406,8.906437873840332,,43.46905899047852,19.247560501098636,35.13679504394531,33.17972183227539,25.638463973999023,8.742914199829102,817.5,10.353034019470217,23.223291397094727,32.83931350708008,47.08039474487305,,67.98633575439453,47.57251739501953,27.233890533447266,42.67308044433594,36.03083801269531,20.37602424621582,18.8330192565918,,36.01875648498535,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3431798883761421,,,False,False,False,False,False,False,False,False,False
2007-04-30,1.68,,-0.548,2.2,94.8365,-0.09,2.9076019270608766,0.0052042617069107,31.600067138671875,104.12043762207033,39.39359664916992,15.544012069702148,17.566068649291992,9.024442672729492,17.712556838989258,65.70999908447266,27.249780654907227,53.99698257446289,,53.5478744506836,20.44143867492676,17.233135223388672,19.128263473510746,61.09783554077149,,66.6348648071289,8.69272232055664,,42.636173248291016,18.83995819091797,34.6845703125,32.849002838134766,24.664682388305664,8.602834701538086,824.0,10.117338180541992,22.34287452697754,32.225589752197266,46.09738540649414,,66.76849365234375,46.8331298828125,26.85513687133789,41.77855682373047,35.44932174682617,20.37602424621582,18.74600601196289,,35.9941520690918,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.340464586554062,,,False,False,False,False,False,False,False,False,False
2007-05-01,1.67,,-0.548,2.19,95.0037,0.05,2.9798485426711263,0.0053610614507885,31.603984832763672,104.3873062133789,39.35931396484375,15.654410362243652,17.61001205444336,9.010858535766602,17.790830612182617,64.4000015258789,27.249780654907227,53.981689453125,,53.115142822265625,20.637866973876957,17.598308563232422,19.260665893554688,60.68061065673828,,65.96776580810547,8.669489860534668,,42.4117431640625,18.73413848876953,34.529258728027344,33.41045379638672,24.38123321533203,8.584868431091309,830.0,10.120963096618652,22.42593002319336,32.0827522277832,45.24281311035156,,66.17142486572266,46.06529998779297,26.737913131713867,41.672889709472656,35.14069366455078,20.2745304107666,18.53053855895996,,35.89216613769531,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3366376137029479,,,False,False,False,False,False,False,False,False,False
2007-05-02,1.66,,-0.548,2.22,95.0352,0.05,2.9798485426711263,0.005397144207384,31.591981887817383,104.99812316894533,39.78786849975586,15.756305694580078,17.755556106567383,9.09042739868164,17.938976287841797,63.68000030517578,27.715892791748047,54.59894943237305,,53.25634765625,20.94741439819336,17.78602409362793,19.733549118041992,61.27350234985352,,65.4610366821289,8.678789138793945,,42.76082992553711,18.84779357910156,34.71195983886719,33.8504753112793,24.54581642150879,8.627969741821289,835.5,10.15359115600586,22.35118103027344,32.32610321044922,45.272438049316406,,66.62631225585938,46.81687927246094,26.873170852661133,42.41950225830078,35.41802978515625,20.477510452270508,18.517919540405277,,35.840280532836914,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.33732059884696713,,,False,False,False,False,False,False,False,False,False
2007-05-03,1.64,,-0.548,2.25,95.0167,0.05,2.9798485426711263,0.005444411791799,31.59501266479492,105.56686401367188,39.9336051940918,15.739319801330566,17.859905242919922,9.14865016937256,18.08431053161621,63.18999862670898,27.35017967224121,54.58365631103516,,53.41578674316406,20.340242385864254,17.809486389160156,19.52547836303711,61.785888671875,,67.35358428955078,8.609092712402344,,42.9304313659668,19.16133499145508,34.803348541259766,33.88909149169922,24.413227081298828,8.764469146728516,834.5,10.2188720703125,22.39270782470703,32.241451263427734,45.28726959228516,,66.60734558105469,46.77626037597656,26.999422073364254,42.43006896972656,35.5119743347168,20.815826416015625,18.623056411743164,,35.82194137573242,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.336393191807968,,,False,False,False,False,False,False,False,False,False
2007-05-04,1.64,,-0.539,2.24,94.9118,0.05,2.9798485426711263,0.005457654099445,31.63400077819824,105.96709442138672,39.96786880493164,15.930383682250977,18.027406692504883,9.17388153076172,18.07034111022949,61.93000030517578,27.543798446655277,54.43570327758789,,52.673301696777344,20.41762351989746,17.52791404724121,19.62005615234375,60.62937927246094,,65.82816314697266,8.539406776428223,,42.71596908569336,18.92226219177246,34.5749397277832,33.46449279785156,24.55038452148437,8.656710624694824,796.5,10.280516624450684,21.90265846252441,31.82349395751953,44.40305709838867,,65.74018096923828,46.04905319213867,26.611650466918945,42.1060676574707,35.203304290771484,20.89798355102539,18.38753700256348,,35.74589881896973,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.33220977212777675,,,False,False,False,False,False,False,False,False,False
2007-05-07,1.64,,-0.539,2.27,94.6914,0.05,2.9798485426711263,0.0053931686074234,31.6309871673584,105.98810577392578,39.96786880493164,15.909156799316406,17.953258514404297,9.179701805114746,18.11785888671875,61.470001220703125,27.966875076293945,54.56321334838867,,52.93294143676758,20.25690078735352,17.613948822021484,19.766651153564453,59.736366271972656,,65.74543762207031,8.455775260925293,,42.7558708190918,18.98496627807617,34.584068298339844,33.2637939453125,24.431514739990234,8.68903636932373,780.75,10.244253158569336,21.636877059936523,32.008670806884766,44.63522338867188,,65.6312026977539,46.28061676025391,26.097639083862305,42.42653274536133,35.30172348022461,20.690166473388672,18.46744537353516,,35.63944091796875,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.33307250113068076,,,False,False,False,False,False,False,False,False,False
