date,AMT,ARE,AVB,BXP,CCI,DHI,DLR,EQIX,EQR,ESS,EXR,INVH,IYR,KIM,KRC,LEN,MAA,NNN,NVR,O,PHM,PLD,PSA,REXR,SLG,SPG,TOL,VNO,VNQ,VTR,WELL,XLRE
2006-01-03,19.57682228088379,40.45746994018555,,31.587919235229492,16.012659072875977,28.001998901367188,10.279296875,30.325664520263672,,47.07583236694336,6.638195991516113,,31.40814971923828,12.31187629699707,27.945894241333008,47.53341293334961,21.422887802124023,6.883703231811523,721.0,7.447979927062988,34.03342056274414,25.235807418823242,33.57237243652344,,35.81086349487305,30.5142879486084,32.870033264160156,28.785736083984375,25.824453353881836,14.98618221282959,13.178279876708984,
2006-01-04,20.17918586730957,40.614662170410156,,31.705291748046875,16.346004486083984,27.774587631225586,10.396777153015137,31.07227897644043,,47.43976593017578,6.672976970672607,,31.55113410949707,12.45482349395752,28.70787239074707,47.01089096069336,21.178665161132812,6.886988639831543,715.0,7.431205749511719,33.744606018066406,25.159732818603516,33.70194625854492,,36.294803619384766,30.59210205078125,32.410125732421875,28.83257293701172,26.015701293945312,15.031903266906738,13.31941032409668,
2006-01-05,20.11464500427246,41.13535690307617,,32.19150924682617,16.54244041442871,28.327974319458008,10.518774032592773,31.657846450805664,,47.86360549926758,6.603421688079834,,31.775136947631836,12.631616592407227,28.932485580444336,47.6394157409668,21.38004493713379,6.992080211639404,734.5,7.572124004364014,34.5120964050293,25.159732818603516,34.28740310668945,,36.86629867553711,30.930583953857422,33.16762924194336,29.01993751525879,26.215469360351562,15.338205337524414,13.594037055969238,
2006-01-06,20.42299461364746,41.606956481933594,,32.84120559692383,16.73887825012207,28.23699188232422,10.636250495910645,31.833534240722656,,47.86360549926758,6.646892547607422,,32.05156707763672,12.75576114654541,28.94131088256836,47.4198112487793,21.602834701538086,7.133303165435791,723.0,7.535211563110352,34.347023010253906,25.39813232421875,34.52256393432617,,37.37786865234375,31.34691047668457,33.57343292236328,29.304311752319336,26.461992263793945,15.589654922485352,13.651247024536133,
2006-01-09,20.867597579956055,42.14729690551758,,33.28551483154297,17.268665313720703,30.283710479736328,10.731135368347168,32.287357330322266,,48.058006286621094,6.625156402587891,,32.36135482788086,12.785850524902344,28.89285659790039,49.403831481933594,21.63711929321289,7.156290054321289,774.5,7.699609279632568,36.377174377441406,25.43870735168457,34.925655364990234,,37.626747131347656,31.59978675842285,35.63851547241211,29.635528564453125,26.68724250793457,15.767956733703613,13.845776557922363,
2006-01-10,20.838911056518555,42.2946662902832,,33.323238372802734,17.131757736206055,30.57933235168457,10.871206283569336,32.14828872680664,,48.51172637939453,6.664285182952881,,32.57584762573242,12.827221870422363,29.157100677490234,49.91120529174805,21.95845603942871,7.228543758392334,810.0,7.726451396942139,36.154335021972656,25.86988067626953,35.194366455078125,,37.981624603271484,31.934383392333984,35.918067932128906,29.80950355529785,26.8487548828125,15.772520065307617,13.929693222045898,
2006-01-11,21.190303802490234,42.02447509765625,,32.84539031982422,17.375810623168945,31.37527847290039,10.762767791748047,32.880252838134766,,48.75603103637695,6.694712162017822,,32.61396789550781,12.842275619506836,29.12628936767578,49.941497802734375,21.675678253173828,7.221975803375244,822.8800048828125,7.749933242797852,36.84754943847656,25.864810943603516,35.27116012573242,,37.8802490234375,31.996627807617188,35.9811897277832,29.83291244506836,26.891252517700195,15.580509185791016,13.910624504089355,
2006-01-12,20.881940841674805,42.24552536010742,,32.62742614746094,17.346052169799805,30.73094940185547,10.762767791748047,33.18035888671875,,48.83580017089844,6.651241302490234,,32.528167724609375,12.793371200561523,28.954509735107422,49.39628219604492,21.56855583190918,7.189132213592529,810.0,7.766701698303223,35.362098693847656,25.768434524536133,35.10798645019531,,37.69127655029297,31.86823844909668,34.457176208496094,29.849651336669922,26.814756393432617,15.498220443725586,13.956387519836426,
2006-01-13,20.688322067260742,41.631507873535156,,32.23762512207031,17.334142684936523,30.53384780883789,10.816986083984375,33.66347122192383,,48.36212921142578,6.52517032623291,,32.00392150878906,12.59400463104248,28.773942947387695,48.45726776123047,21.735666275024414,7.1300177574157715,785.25,7.733155250549316,35.05674743652344,25.28652572631836,34.38338088989258,,37.184303283691406,31.34691047668457,34.033348083496094,29.157094955444336,26.48322296142578,15.210200309753418,13.819077491760254,
2006-01-17,20.437328338623047,41.50379180908203,,32.14120864868164,16.988893508911133,30.00322151184082,10.627215385437012,33.94162368774414,,48.51172637939453,6.468656539916992,,31.994384765625,12.642909049987793,28.668224334716797,48.0331916809082,21.534286499023438,7.123449802398682,773.6099853515625,7.749933242797852,34.446067810058594,25.235807418823242,34.28740310668945,,37.56220626831055,31.358562469482422,33.39307403564453,28.856002807617188,26.376968383789062,15.182772636413574,13.807634353637695,
2006-01-18,20.99667739868164,41.263065338134766,,31.856178283691406,17.572254180908203,30.32159996032715,10.56395435333252,34.088008880615234,,48.01313400268555,6.459964275360107,,31.93719482421875,12.627860069274902,28.44359588623047,47.91203689575195,21.397705078125,7.159574508666992,764.0,7.706321716308594,34.23148727416992,25.01768684387207,33.922698974609375,,37.51613998413086,31.448055267333984,33.00530242919922,28.685373306274414,26.37272834777832,15.233055114746094,13.944942474365234,
2006-01-19,21.154434204101562,41.7051887512207,,32.11186981201172,17.774641036987305,29.457433700561523,10.604621887207031,34.65161895751953,,49.03522491455078,6.52517032623291,,32.31371307373047,12.87988567352295,28.998552322387695,47.4198112487793,21.52777862548828,7.225258827209473,765.0,7.877415657043457,33.6538200378418,25.45393180847168,34.38338088989258,,38.13372802734375,31.8876895904541,32.410125732421875,29.006555557250977,26.704240798950195,15.379352569580078,14.112775802612305,
2006-01-20,20.652463912963867,41.30238342285156,,31.97773551940918,17.673446655273438,28.89649772644043,10.731135368347168,33.773250579833984,,48.63637924194336,6.433879852294922,,31.894296646118164,12.789607048034668,28.848819732666016,46.76099395751953,21.670869827270508,7.212124347686768,752.5,7.766701698303223,33.249454498291016,25.2459659576416,33.73074722290039,,37.51613998413086,31.41691780090332,31.72476577758789,28.64522361755371,26.44496726989746,14.172412872314453,13.922060012817383,
2006-01-23,20.609434127807617,42.466583251953125,,32.199886322021484,17.54248809814453,28.78278350830078,10.798916816711426,33.81718063354492,,48.81086730957031,6.516475677490234,,32.07540512084961,12.883646011352539,28.848819732666016,46.3520622253418,21.57980728149414,7.287660121917725,737.0,7.746578693389893,33.01838302612305,25.433637619018555,34.033058166503906,,37.89866638183594,31.770977020263672,31.400127410888672,28.906173706054688,26.563976287841797,14.400997161865234,14.028855323791504,
2006-01-24,21.218978881835938,43.0315055847168,,32.51846694946289,18.15561866760254,28.86617660522461,10.948017120361328,34.088008880615234,,49.44407653808594,6.512131214141846,,32.38520050048828,12.940078735351562,29.33769989013672,47.662139892578125,21.68820571899414,7.346774578094482,739.0,7.783479690551758,32.99362564086914,25.874948501586914,34.22981643676758,,38.70985794067383,31.872127532958984,31.210756301879883,29.163795471191406,26.76373863220215,14.378143310546875,14.082260131835938,
2006-01-25,20.867597579956055,42.893951416015625,,32.417842864990234,17.917505264282227,28.273334503173828,11.169421195983887,34.29295349121094,,49.3443489074707,6.507782459259033,,32.26605224609375,12.87236213684082,29.311279296875,46.53383255004883,21.78792381286621,7.4288835525512695,730.5,7.749933242797852,32.41594696044922,25.72785186767578,34.31619644165039,,38.85271453857422,31.603668212890625,30.6787109375,29.408029556274414,26.78074073791504,14.240989685058594,14.154735565185547,
2006-01-26,20.924964904785156,42.98237991333008,,32.57294845581055,17.92942237854004,28.615345001220703,11.381783485412598,34.117286682128906,,49.43410110473633,6.694712162017822,,32.36135482788086,12.883646011352539,29.60194206237793,47.662139892578125,21.944026947021484,7.474860668182373,773.0,7.753287315368652,32.028076171875,25.824241638183594,34.3114013671875,,39.014015197753906,31.73594856262207,31.300926208496094,29.521778106689453,26.870019912719727,14.080975532531738,14.257719039916992,
2006-01-27,21.08989715576172,43.2525634765625,,32.78252029418945,17.941314697265625,29.170183181762695,11.842655181884766,34.69554138183594,,49.85788345336914,6.786004543304443,,32.847503662109375,13.109349250793457,29.817771911621094,47.96503448486328,22.035076141357422,7.513176918029785,754.0,7.877415657043457,32.795555114746094,25.951045989990234,34.86326217651367,,39.299766540527344,32.69305419921875,31.309953689575195,29.90328598022461,27.171768188476562,14.094696998596191,14.339170455932617,
2006-01-30,21.218978881835938,43.01677322387695,,32.694496154785156,18.131807327270508,28.9345703125,11.56704330444336,34.490596771240234,,49.16985321044922,6.716445446014404,,32.72834396362305,13.08301830291748,29.4213924407959,47.66971206665039,22.069765090942383,7.556487083435059,766.5,7.822124481201172,32.83681869506836,26.087987899780273,34.56093978881836,,39.064727783203125,32.29233169555664,31.300926208496094,29.795242309570312,27.15052604675293,14.080975532531738,14.308140754699707,
2006-01-31,22.18705940246582,43.350799560546875,,32.8034782409668,18.828264236450195,28.36455535888672,11.698064804077148,34.35151290893555,,49.54878616333008,6.672976970672607,,32.80461883544922,13.199626922607422,29.769336700439453,47.37438201904297,22.134807586669922,7.63978385925293,794.25,7.852472305297852,32.92760467529297,26.47859001159668,34.82487106323242,,38.73287582397461,32.23006820678711,30.660667419433594,29.825634002685547,27.222782135009766,13.989544868469238,14.424500465393066,
