date,BAA10Y,HY_OAS_3Y,NFCI,Real_Yield,DXY,CFNAI,INDPRO_YoY,Copper_Gold,HYG,SPY,QQQ,SMH,SOXX,IGV,XLE,OIL,ADI,AMAT,AMD,ASML,AVGO,INTC,KLAC,LRCX,MRVL,MU,NVDA,NXPI,QCOM,TSM,TXN,LPPLS_R2,Score_Dynamics,Log_Trend,Valuation_Residual,Score_Valuation,Breadth_50,High_60,Price_Ratio_High,Score_Breadth,Ratio_QQQ,Score_Relative,Composite_Radar_Score,MA10,MA20,MA50,MA200,Dist_200MA,Macro_MA50,Macro_MA200,BAA_MA60,BAA_Stress,RY_Surge,NFCI_Roll_Mean,NFCI_Roll_Std,NFCI_Z,Price_Z,Macro_Z,Dynamic_Beta,Expected_Price_Z,Gap,Gap_Max_45,PriceZ_Max_45,Gap_Median,Gap_Upper,Cond_Bubble,Macro_Crisis,Cond_Bear,Sell_Signal,Above_MA50_Conf,Above_MA20_Conf,Cond_Panic,Bench_Equity,Strat_Equity,Position
2009-01-01,5.82,,2.74,2.14,98.6518,-3.04,-13.374567704176645,0.0015787686956435,26.16264915466309,65.82257080078125,25.64302444458008,7.476920127868652,7.90802526473999,6.165732383728027,13.649280548095703,44.59999847412109,12.60855770111084,7.627364635467529,2.1600000858306885,16.563865661621094,,9.17884922027588,1.1991814374923706,1.8053834438323972,5.677365303039551,2.57436203956604,0.1845394968986511,,23.19991683959961,4.673108100891113,9.82573127746582,0.0,12.831858407079647,2.146137065621291,-13.431610603737143,5.080831408775981,0.6,9.44699001312256,0.7914605728896361,27.713625866050805,0.29157715557413416,63.04849884526559,22.14703958797441,7.276517486572265,7.350395154953003,7.433358879089355,10.947469410896302,-31.701840423260936,23.512763137817384,28.525781011581422,5.722499999999999,True,False,1.2958769841269844,0.9331482487416003,1.5475815363150245,-1.4259163584654326,-0.6751156443110174,0.542713023277428,-0.366394052385921,-1.0595223060795116,-1.0595223060795116,-1.4259163584654326,,,False,False,False,False,False,True,True,1000.0,1000.0,1.0
2009-01-02,5.72,,2.584,2.29,98.6008,-3.04,-13.374567704176645,0.0016431497789941,26.08003234863281,67.80656433105469,26.75530433654785,7.8038506507873535,8.275961875915527,6.421909809112549,14.329315185546877,46.34000015258789,13.039451599121094,8.033958435058594,2.380000114440918,16.68303108215332,,9.516948699951172,1.237154483795166,1.869861125946045,6.051884174346924,2.7693896293640137,0.1991746127605438,,23.989856719970703,4.86239767074585,10.15494155883789,0.0,14.348785871964681,2.1468961232641504,-9.227883820725191,8.294930875576037,0.8,9.44699001312256,0.8260674182937882,27.764976958525345,0.2916748975315247,64.51612903225806,23.714471368551692,7.310059499740601,7.396462512016297,7.433613615036011,10.92592178106308,-28.57489915118129,23.56675598144531,28.502565574645995,5.736833333333334,False,True,1.304293650793651,0.935169209969121,1.3684222297742057,-1.2781779211232793,-0.6919374848159265,0.5438034186475272,-0.3762779697332723,-0.901899951390007,-0.901899951390007,-1.2781779211232793,,,False,True,False,False,True,True,True,1000.0,1000.0,1.0
2009-01-05,5.82,,2.584,2.34,98.9195,-3.04,-13.374567704176645,0.0016822211980125,27.33981704711914,67.72633361816406,26.74668312072754,7.761391639709473,8.273178100585938,6.363686561584473,14.666474342346191,48.810001373291016,12.973161697387695,8.033958435058594,2.6700000762939453,16.609695434570312,,9.33537483215332,1.2327524423599243,1.8656200170516968,5.975277900695801,3.237455129623413,0.2028334140777588,,23.60136032104492,4.767752647399902,10.04098415374756,0.0,14.096916299559473,2.14765518090701,-9.849352777637677,8.275862068965518,0.8,8.937488555908203,0.8684085681518147,27.816091954022987,0.29018146305007536,60.229885057471265,22.99139196921363,7.356339025497436,7.429792332649231,7.433613615036011,10.903758499622345,-28.819116454401566,23.669726638793946,28.48496277809143,5.752833333333333,True,True,1.3127103174603174,0.9371099206598466,1.3566067767999537,-1.282009492486576,-0.3273695368941285,0.5435249957464992,-0.1779335261479146,-1.1040759663386612,-0.901899951390007,-1.2781779211232793,,,False,True,False,False,True,True,True,994.5592230069656,994.5592230069656,1.0
2009-01-06,5.77,,2.584,2.09,98.7871,-3.04,-13.374567704176645,0.0018095677612229,27.570425033569336,68.17857360839844,27.013973236083984,8.135025978088379,8.719172477722168,6.4859538078308105,14.826478958129885,48.58000183105469,13.602923393249512,8.719143867492676,2.7799999713897705,17.00385284423828,,9.623390197753906,1.3268598318099976,1.9818501472473145,6.503008365631104,3.3837263584136963,0.2096935957670211,,24.05460357666016,4.968872547149658,10.414511680603027,0.0,15.824175824175823,2.1484142385498695,-5.223530451108704,8.256880733944955,0.8666666666666667,8.937488555908203,0.9102138623395104,56.42201834862385,0.30114140955844276,92.20183486238533,35.53846153846153,7.465457010269165,7.466518831253052,7.424612455368042,10.881319234371185,-25.238605697809124,23.772284927368165,28.467834930419922,5.769333333333333,True,False,1.3212261904761906,0.9388785166105157,1.3449810318727828,-1.1182673146205824,-0.25683952438583835,0.5444371436967431,-0.13983297704505582,-0.9784343375755266,-0.901899951390007,-1.1182673146205824,,,False,False,False,False,True,True,True,1042.4374250765054,1042.4374250765054,1.0
2009-01-07,5.71,,2.584,2.05,98.089,-3.04,-13.374567704176645,0.0017768399529043,27.07134437561035,66.13623046875,26.24658203125,7.6722307205200195,8.309414863586426,6.29770040512085,14.197877883911133,42.630001068115234,13.092483520507812,7.981252670288086,2.6600000858306885,16.25220489501953,,9.04110336303711,1.2377053499221802,1.9224618673324585,6.2221198081970215,3.198449850082397,0.1971165686845779,,23.01861000061035,4.560717105865479,9.863713264465332,0.0,13.596491228070176,2.1491732961927292,-11.156588600329531,4.3478260869565215,0.8,8.937488555908203,0.8584325084755746,27.80320366132723,0.29231351767575764,70.25171624713958,23.334286803966435,7.516831731796264,7.481803894042969,7.414252595901489,10.856056506633758,-29.327645671042823,23.844428787231447,28.44813136100769,5.782166666666667,False,False,1.3297420634920636,0.9405663806827391,1.3335134541619063,-1.292784649152538,-0.39441129396454555,0.545203002540326,-0.2150342217052854,-1.0777504274472527,-0.901899951390007,-1.1182673146205824,,,False,False,False,False,True,True,True,983.1339762692595,983.1339762692595,1.0
2009-01-08,5.71,,2.584,1.97,98.3223,-3.04,-13.374567704176645,0.0017133153967663,26.67892837524414,66.40608978271484,26.52249336242676,7.667981624603271,8.301053047180176,6.301582336425781,14.380744934082031,41.70000076293945,13.105740547180176,8.086663246154785,2.740000009536743,16.380542755126953,,9.109975814819336,1.248161792755127,1.981001853942871,6.196583271026611,3.3252177238464355,0.1920857429504394,,22.84379005432129,4.460154533386231,9.673784255981444,0.0,13.785557986870897,2.1499323538355886,-11.287892502917884,3.881278538812785,0.8,8.937488555908203,0.8579570845474578,27.85388127853881,0.2891123967803932,57.534246575342465,21.388872236044083,7.567781543731689,7.502183818817139,7.394551868438721,10.829477548599243,-29.193429782814423,23.89586208343506,28.426738872528077,5.7925,False,False,1.3382579365079363,0.9421739467596729,1.3221996368658109,-1.2808052297260553,-0.5010359465744438,0.5452338738745247,-0.2731817701011734,-1.0076234596248819,-0.901899951390007,-1.1182673146205824,,,False,False,False,False,True,True,True,982.589489181168,982.589489181168,1.0
2009-01-09,5.72,,2.429,1.87,98.8752,-3.04,-13.374567704176645,0.0018090835328782,27.07134437561035,64.98371124267578,25.92755508422852,7.43870735168457,8.008369445800781,6.194840908050537,13.89786434173584,40.83000183105469,12.840578079223633,7.808075904846191,2.690000057220459,15.473051071166992,,8.859524726867676,1.2134904861450195,1.993726372718811,5.839090347290039,3.208201169967652,0.1813381016254425,,22.662487030029297,4.430578708648682,9.47119426727295,0.0,12.882096069868995,2.1506914114784483,-14.399432078166985,0.683371298405467,0.8,8.937488555908203,0.8323039861983542,27.904328018223236,0.2869035405582636,47.380410022779046,18.76271995702818,7.602172756195069,7.487747859954834,7.3671237754821775,10.8020494222641,-31.136147772545332,23.954942474365236,28.406713943481446,5.797,False,False,1.3461587301587303,0.9429422285683818,1.1483643701074295,-1.3586852141788466,-0.38322029981119177,0.5451282860738073,-0.20890422522476554,-1.149780988954081,-0.901899951390007,-1.1182673146205824,,,False,False,False,False,True,False,False,953.2098555645805,953.2098555645805,1.0
2009-01-12,5.71,,2.429,1.75,99.6022,-3.04,-13.374567704176645,0.0017981226938822,26.48275756835937,63.42277908325195,25.45332145690918,7.243399620056152,7.763070583343506,6.132739067077637,13.349263191223145,37.59000015258789,12.628445625305176,7.529486179351807,2.5199999809265137,14.895567893981934,,8.634125709533691,1.1810206174850464,1.890222430229187,5.549687385559082,3.0814332962036133,0.1740205287933349,,22.57183837890625,4.341850280761719,9.32557773590088,0.0,11.546840958605664,2.1514504691213077,-17.13598121516111,0.22727272727272727,0.5333333333333333,8.937488555908203,0.8104513448879149,27.954545454545453,0.2845758119355369,38.40909090909091,16.848212517330165,7.611089038848877,7.477770066261291,7.340459899902344,10.773963193893433,-32.769404445695216,23.99832794189453,28.38250880241394,5.800166666666667,False,False,1.3540595238095237,0.9436434731459385,1.1391383455612039,-1.4214266036618797,-0.5457412703054131,0.546472661754487,-0.2982326846130741,-1.1231939190488056,-0.901899951390007,-1.1182673146205824,,,False,False,False,False,False,False,False,928.1827579984946,928.1827579984946,1.0
2009-01-13,5.72,,2.429,1.74,100.3597,-3.04,-13.374567704176645,0.0018686746423999,26.38635635375977,63.53949737548828,25.46194267272949,7.311333179473877,7.774219989776611,6.113331317901611,13.683565139770508,37.77999877929688,12.827316284179688,7.672544479370117,2.380000114440918,15.014729499816896,,8.558991432189941,1.171114444732666,1.835077166557312,5.430522918701172,3.0716817378997803,0.1749351769685745,,22.75312614440918,4.537054538726807,9.395219802856444,0.0,12.608695652173912,2.1522095267641674,-16.2783892138227,0.45351473922902497,0.6666666666666666,8.937488555908203,0.8180523123177212,28.00453514739229,0.2871474998372585,53.06122448979592,19.486739623385585,7.59877610206604,7.448473787307739,7.307936792373657,10.747978665828704,-31.97480747967088,24.034306755065916,28.357291479110717,5.8021666666666665,False,False,1.361936507936508,0.9443011433537255,1.1300033768610476,-1.3786560833683892,-0.5668286479806736,0.5484764044626649,-0.3108921387908734,-1.0677639445775158,-0.901899951390007,-1.1182673146205824,,,False,False,False,False,False,False,False,936.8878912023022,936.8878912023022,1.0
2009-01-14,5.68,,2.429,1.79,100.7546,-3.04,-13.374567704176645,0.0018225687049528,26.049055099487305,61.54090881347656,24.68592643737793,6.992895126342773,7.462027072906494,5.913435459136963,13.029241561889648,37.27999877929688,12.330138206481934,7.326188087463379,2.150000095367432,14.272242546081545,,8.18958568572998,1.1160813570022583,1.734966516494751,5.3709397315979,2.857151985168457,0.1671603769063949,,21.85958671569824,4.359594821929932,8.926729202270508,0.0,9.544468546637743,2.1529685844070268,-20.80739327457326,0.22624434389140274,0.4,8.937488555908203,0.7824228341775118,28.054298642533936,0.2832745671539617,34.841628959276015,15.636944081820946,7.550373601913452,7.406440019607544,7.279914255142212,10.719680159091949,-34.76582302307112,24.067597808837892,28.331753282546998,5.8035,False,False,1.369813492063492,0.9448924309740563,1.12095987014631,-1.4888537239144635,-0.6568501082187694,0.5494869104700605,-0.3609305366070565,-1.127923187307407,-0.901899951390007,-1.1182673146205824,,,False,False,False,False,False,False,False,896.0826442311835,896.0826442311835,1.0
