date,diluted_shares_m,sbc_pct_rev,insider_net_flow_m
2010-08-02,125.0,15.2,0.0
2010-08-03,125.0,15.2,0.0
2010-08-04,125.0,15.2,0.0
2010-08-05,125.0,15.2,0.0
2010-08-06,125.0,15.2,0.0
2010-08-09,125.0,15.2,0.0
2010-08-10,125.0,15.2,0.0
2010-08-11,125.0,15.2,0.0
2010-08-12,125.0,15.2,0.0
2010-08-13,125.0,15.2,0.0
2010-08-16,125.0,15.2,0.0
2010-08-17,125.0,15.2,0.0
2010-08-18,125.0,15.2,0.0
2010-08-19,125.0,15.2,0.0
2010-08-20,125.0,15.2,0.0
2010-08-23,125.0,15.2,0.0
2010-08-24,125.0,15.2,0.0
2010-08-25,125.0,15.2,0.0
2010-08-26,125.0,15.2,0.0
2010-08-27,125.0,15.2,0.0
2010-08-30,125.0,15.2,0.0
2010-08-31,125.0,15.2,0.0
2010-09-01,125.0,15.2,0.0
2010-09-02,125.0,15.2,0.0
2010-09-03,125.0,15.2,0.0
2010-09-07,125.0,15.2,0.0
2010-09-08,125.0,15.2,0.0
2010-09-09,125.0,15.2,0.0
2010-09-10,125.0,15.2,0.0
2010-09-13,125.0,15.2,0.0
2010-09-14,125.0,15.2,0.0
2010-09-15,125.0,15.2,0.0
2010-09-16,125.0,15.2,0.0
2010-09-17,125.0,15.2,0.0
2010-09-20,125.0,15.2,0.0
2010-09-21,125.0,15.2,0.0
2010-09-22,125.0,15.2,0.0
2010-09-23,125.0,15.2,0.0
2010-09-24,125.0,15.2,0.0
2010-09-27,125.0,15.2,0.0
2010-09-28,125.0,15.2,0.0
2010-09-29,125.0,15.2,0.0
2010-09-30,125.0,15.2,0.0
2010-10-01,125.0,15.2,0.0
2010-10-04,125.0,15.2,0.0
2010-10-05,125.0,15.2,0.0
2010-10-06,125.0,15.2,0.0
2010-10-07,125.0,15.2,0.0
2010-10-08,125.0,15.2,0.0
2010-10-11,125.0,15.2,0.0
2010-10-12,125.0,15.2,0.0
2010-10-13,125.0,15.2,0.0
2010-10-14,125.0,15.2,0.0
2010-10-15,125.0,15.2,0.0
2010-10-18,125.0,15.2,0.0
2010-10-19,125.0,15.2,0.0
2010-10-20,125.0,15.2,0.0
2010-10-21,125.0,15.2,0.0
2010-10-22,125.0,15.2,0.0
2010-10-25,125.0,15.2,0.0
2010-10-26,125.0,15.2,0.0
2010-10-27,125.0,15.2,0.0
2010-10-28,125.0,15.2,0.0
2010-10-29,125.0,15.2,0.0
2010-11-01,125.0,15.2,0.0
2010-11-02,125.0,15.2,0.0
2010-11-03,125.0,15.2,0.0
2010-11-04,125.0,15.2,0.0
2010-11-05,125.0,15.2,0.0
2010-11-08,125.0,15.2,0.0
2010-11-09,125.0,15.2,0.0
2010-11-10,125.0,15.2,0.0
2010-11-11,125.0,15.2,0.0
2010-11-12,125.0,15.2,0.0
2010-11-15,125.0,15.2,0.0
2010-11-16,125.0,15.2,0.0
2010-11-17,125.0,15.2,0.0
2010-11-18,125.0,15.2,0.0
2010-11-19,125.0,15.2,0.0
2010-11-22,125.0,15.2,0.0
2010-11-23,125.0,15.2,0.0
2010-11-24,125.0,15.2,0.0
2010-11-26,125.0,15.2,0.0
2010-11-29,125.0,15.2,0.0
2010-11-30,125.0,15.2,0.0
2010-12-01,125.0,15.2,0.0
2010-12-02,125.0,15.2,0.0
