date,AIG,AXP,BAC,BK,BKU,BLK,BRK_B,C,CB,CBSH,CFG,CFR,CME,COF,EWBC,FCNCA,FITB,GS,HBAN,ICE,JPM,KEY,KRE,MA,MCO,MET,MS,MTB,PGR,PNC,SCHW,SPGI,TFC,TRV,USB,V,WAL,WFC,XLF,ZION
2006-01-03,824.0487060546875,38.6274528503418,30.17638397216797,,,66.59925079345703,59.29999923706055,312.7267761230469,36.0424919128418,16.624347686767578,,29.169761657714844,35.314884185791016,63.03205490112305,25.323047637939453,162.83689880371094,20.069168090820312,92.49635314941406,11.6297025680542,6.416277885437012,23.52768325805664,16.85554313659668,,,49.780216217041016,25.610231399536133,31.01133918762207,60.03282928466797,14.99645709991455,34.98136901855469,11.037108421325684,34.199405670166016,19.100372314453125,28.3907470703125,15.636134147644043,,25.894939422607422,18.170347213745117,17.43276023864746,50.882965087890625
2006-01-04,825.2322998046875,38.25193405151367,29.855899810791016,,,66.7092514038086,59.34000015258789,306.9532775878906,36.65707778930664,16.878917694091797,,29.08928680419922,34.80612564086914,62.62620162963867,25.309396743774414,163.42324829101562,20.318241119384766,91.21875,11.634507179260254,6.2535834312438965,23.39190673828125,16.960668563842773,,,49.72487258911133,25.767375946044922,31.032608032226562,60.184303283691406,15.062674522399902,35.20151138305664,11.57568073272705,34.07402038574219,19.24934959411621,28.705575942993164,15.692939758300781,,25.834835052490234,17.959590911865234,17.416519165039062,51.242252349853516
2006-01-05,826.2977294921875,38.65691375732422,29.894365310668945,,,65.98826599121094,59.20000076293945,308.475830078125,36.571170806884766,16.891803741455078,,29.148298263549805,35.40925216674805,62.64070129394531,25.22065544128418,163.37823486328125,20.593814849853516,91.18284606933594,11.740191459655762,6.662015438079834,23.462739944458008,17.04076385498047,,,49.9067268371582,25.69639778137207,31.11771011352539,60.38987350463867,15.188590049743652,35.21803665161133,11.664216995239258,34.041011810302734,19.24934959411621,28.98337745666504,15.770393371582031,,25.62877655029297,17.939655303955078,17.47606658935547,51.70794677734375
2006-01-06,829.8484497070312,38.789451599121094,29.849496841430664,,,67.46688079833984,59.400001525878906,308.475830078125,37.0469970703125,16.833799362182617,,29.3253231048584,36.47443771362305,62.64070129394531,25.138750076293945,166.9596710205078,20.583215713500977,92.47478485107422,11.793034553527832,6.833183288574219,23.628063201904297,17.045774459838867,,,50.159732818603516,25.838342666625977,31.14959716796875,60.59535217285156,15.092521667480469,35.50422668457031,11.833904266357422,34.61518096923828,19.199695587158203,29.143878936767578,15.894322395324707,,25.5515079498291,18.045034408569336,17.578937530517578,52.246856689453125
2006-01-09,825.9423217773438,39.75403594970703,29.868722915649414,,,68.24896240234375,59.58000183105469,307.01654052734375,36.94124984741211,16.801576614379883,,29.341434478759766,37.06298828125,63.858123779296875,25.186527252197266,168.47523498535156,20.668004989624023,93.58731079101562,11.83626937866211,7.390751361846924,24.011825561523438,17.065797805786133,,,50.974117279052734,26.112092971801758,31.479358673095703,61.40130615234375,15.426153182983398,35.48220443725586,11.951946258544922,34.02120590209961,19.244834899902344,29.156225204467773,15.899489402770996,,25.216655731201172,18.04218101501465,17.627668380737305,51.81438064575195
2006-01-10,833.2808227539062,39.636234283447266,29.61874008178711,,,68.5300521850586,59.400001525878906,307.96826171875,37.03376770019531,16.811248779296875,,29.40581512451172,36.92094421386719,63.56827163696289,25.527820587158203,170.28857421875,20.668004989624023,94.76445007324219,11.831462860107422,7.797487258911133,24.047245025634766,16.975688934326172,,,51.41689682006836,25.878889083862305,31.49532127380371,61.63930892944336,15.391107559204102,35.48772430419922,11.560928344726562,32.52308654785156,19.22226333618164,28.946331024169922,15.827189445495605,,25.08786964416504,18.027936935424805,17.643905639648438,51.20894241333008
2006-01-11,838.3705444335938,39.42267990112305,29.548246383666992,,,67.52796173095703,59.279998779296875,310.7598571777344,37.443485260009766,16.75002098083496,,29.341434478759766,37.54936981201172,63.77116394042969,25.52098846435547,169.73822021484375,20.583215713500977,94.72138214111328,11.826653480529785,7.951711654663086,24.02953338623047,16.880571365356445,,,51.907100677490234,25.960010528564453,31.826549530029297,60.45475769042969,15.326192855834961,35.765052795410156,11.501903533935547,32.272308349609375,19.103832244873047,29.41550636291504,15.760066032409668,,24.555545806884766,18.12192726135254,17.741355895996094,51.50832748413086
2006-01-12,831.6242065429688,39.43002700805664,29.355958938598633,,,68.4261703491211,58.900001525878906,311.0771789550781,36.617435455322266,16.311777114868164,,28.874675750732422,36.980308532714844,62.8291015625,25.077314376831055,169.77435302734375,20.562015533447266,94.9223403930664,11.648921012878418,7.450069427490234,23.586740493774414,16.695343017578125,,,51.424808502197266,25.635574340820312,31.77314567565918,59.37298583984375,14.987371444702148,35.315773010253906,11.39123821258545,31.057973861694336,18.839632034301758,29.24265480041504,15.692939758300781,,24.555545806884766,17.911176681518555,17.616836547851562,50.72992706298828
2006-01-13,829.1381225585938,39.34904861450195,29.355958938598633,,,68.82943725585938,59.040000915527344,310.37921142578125,36.28041076660156,16.311777114868164,,29.244876861572266,37.18362808227539,62.78564453125,25.41177749633789,169.60304260253906,20.63090705871582,95.64725494384766,11.672942161560059,7.5500569343566895,23.569028854370117,16.865556716918945,,,50.7685432434082,25.686269760131836,31.725048065185547,59.56227493286133,15.145747184753418,35.3712272644043,11.228928565979004,31.645357131958008,19.071949005126953,29.168567657470703,15.796205520629883,,24.564132690429688,18.01370620727539,17.60600471496582,51.25554656982422
2006-01-17,817.1835327148438,38.995628356933594,29.04189109802246,,,68.3039779663086,58.86000061035156,307.27044677734375,36.25397491455078,16.3601131439209,,28.998069763183594,37.16025161743164,62.32184600830078,25.097797393798828,169.60304260253906,20.371227264404297,95.1663589477539,11.524027824401855,7.860193252563477,23.445030212402344,16.64527702331543,,,49.882999420166016,25.377037048339844,31.420520782470703,58.91865539550781,14.867942810058594,34.61687088012695,11.051864624023438,32.998287200927734,18.980846405029297,28.662372589111328,15.507036209106445,,24.77018928527832,17.828577041625977,17.421934127807617,51.00937271118164
