date,NOW,high,low,open,volume,SPY,HYG,BAA10Y,NFCI,Real_Yield,diluted_shares_m,sbc_pct_rev,insider_net_flow_m,MA10,MA20,MA50,MA200,Dist_200MA,Macro_MA50,Macro_MA200,BAA_MA60,BAA_Stress,RY_Surge,Price_Z,Macro_Z,Dynamic_Beta,Expected_Price_Z,Gap,Gap_Max_45,Gap_Upper,q1,q1_dot,q1_ddot,v_dot,Quadrant,CMF20,Vol_Ratio50,Score_Dim1_Pos,Score_Dim2_Vel,Score_Dim3_Lyapunov,Score_Dim4_Capital,Score_Dim5_Liquidity,Score_Dim6_Macro,Composite_Score,Dist_50MA,MA200_Slope,Trigger_Panic,Trigger_Stage,Trigger_Bubble_Top,Trigger_Bear_Top,Trigger_Top,Trigger_Overbought,Trigger_Oversold,Signal_Oversold,Signal_Overbought,Radar_Alert_Type,Radar_Alert_Reason,signal_ready,bench_nav,strat_nav,Position,action,strat_shares,strat_cash
2013-06-03,7.349999904632568,7.354000091552734,7.182000160217285,7.308000087738037,8723000,131.0983123779297,45.301517486572266,2.82,-0.715,-0.07,128.5,16.0,-2.5,7.570800065994263,,7.55620005607605,6.73528000831604,9.126864727893249,46.12542823791504,44.701862773895265,2.8355,False,True,0.7794352538547505,0.5402549583589666,,,,,,9.126864727893249,-1.2412981934139373,-0.13198342455302312,5.053917947557952,4,0.016555967832935344,1.2386437539581772,,,,50.0,52.85247771096827,19.264069264069263,,-2.7288868732065024,,False,False,False,False,False,False,False,False,False,无,正常跟踪中,False,11000.0,11000.0,1.0,WAITING,0.0,11000.0
2013-06-04,7.217999935150146,7.461999893188477,7.177999973297119,7.377999782562256,4866000,130.46817016601562,45.301517486572266,2.86,-0.715,-0.05,128.5,16.0,-2.5,7.486400032043457,,7.555480051040649,6.739090008735657,7.106447978629893,46.12029983520508,44.714047298431396,2.835166666666667,True,True,0.6068619601535411,0.5325958544036993,,,,,,7.106447978629893,-1.3950241830600651,-0.10590524797426155,4.860371417859767,4,-0.0023989526881948884,0.6885154045770842,,,,50.0,36.312629877626414,27.909482758620687,,-4.4666932294265145,,False,False,False,False,False,False,False,False,False,无,正常跟踪中,False,11000.0,11000.0,1.0,WAITING,1523.9678718244797,0.0
2013-06-05,7.182000160217285,7.222000122070312,7.124000072479248,7.197999954223633,3919500,128.6414794921875,44.90910339355469,2.89,-0.715,-0.06,128.5,16.0,-2.5,7.403800010681152,,7.554920053482055,6.7453200101852415,6.473824054682159,46.108675689697264,44.72529890060425,2.8355,True,True,0.5543715663644238,0.1681041104854201,,,,,,6.473824054682159,-1.354980239666468,-0.018639649775300794,-6.246267957188168,4,0.023374987333528524,0.5521612403799684,,,,50.0,34.89943112555871,31.974248927038627,,-4.93611964951094,,False,False,False,False,False,False,False,False,False,无,正常跟踪中,False,10945.13749960941,10945.13749960941,1.0,WAITING,1523.9678718244797,0.0
2013-06-06,7.348000049591064,7.349999904632568,7.116000175476074,7.1579999923706055,3229000,129.8061065673828,45.262245178222656,2.88,-0.715,-0.05,128.5,16.0,-2.5,7.3702000141143795,,7.557320051193237,6.7523100113868715,8.822018484302976,46.10247177124023,44.73752103805542,2.8356666666666666,True,True,0.757092937812781,0.4833486121826048,,,,,,8.822018484302976,-0.6184507189115257,0.1396462596726786,-14.092416642655312,4,0.06444671858284455,0.4544878742241045,,,,50.0,36.23255813953488,30.662393162393162,,-2.7697649455659032,,False,False,False,False,False,False,False,False,False,无,正常跟踪中,False,11198.115997741465,11198.115997741465,1.0,WAITING,1523.9678718244797,0.0
2013-06-07,7.831999778747559,7.84600019454956,7.322000026702881,7.400000095367432,7993000,131.45724487304688,45.29169464111328,2.89,-0.696,0.03,128.5,16.0,-2.5,7.400399971008301,,7.569120044708252,6.761870009899139,15.825944090897822,46.09840263366699,44.749890422821046,2.8363333333333336,True,True,1.357579572774653,0.5027488779006769,,,,,,15.825944090897822,0.32756073558244925,0.28771858244212456,14.608488938249396,1,0.14139011810024532,1.1095671535916893,,,,50.0,65.20161290322581,34.8936170212766,,3.473055421060363,,False,False,False,False,False,False,False,False,False,无,正常跟踪中,False,11935.716034947713,11935.716034947713,1.0,WAITING,1523.9678718244797,0.0
2013-06-10,7.929999828338623,7.952000141143799,7.789999961853027,7.868000030517578,7660500,131.45724487304688,45.19852828979492,2.89,-0.696,0.11,128.5,16.0,-2.5,7.437199974060059,,7.582920045852661,6.771630008220672,17.106218399426474,46.09082786560059,44.76153665542603,2.8365,True,True,1.4651972118313916,0.40847391144984546,,,,,,17.106218399426474,0.42427398052363596,0.3331144347875147,21.390902093749332,1,0.21102564605556187,1.05190380789041,,,,50.0,68.30109169767614,34.95762711864407,,4.577125703386403,,False,False,False,False,False,False,False,False,False,无,正常跟踪中,False,12085.064961961702,12085.064961961702,1.0,WAITING,1523.9678718244797,0.0
2013-06-11,7.989999771118164,8.04800033569336,7.78000020980835,7.888000011444092,14061000,130.1011962890625,44.91892623901367,2.91,-0.696,0.13,128.5,16.0,-2.5,7.4899999618530275,,7.6018000411987305,6.781320006847381,17.82366502787012,46.07602966308594,44.77131715774536,2.836833333333333,True,True,1.5230414558594123,0.13896505256738806,,,,,,17.82366502787012,0.6607231405267106,0.41114946471735514,38.94210448830313,1,0.26774635623360116,1.893841949521789,,,,50.0,84.80382588327151,40.61181434599156,,5.1066816782281235,,False,False,False,False,False,False,False,False,False,无,正常跟踪中,False,12176.502947069028,12176.502947069028,1.0,WAITING,1523.9678718244797,0.0
2013-06-12,7.673999786376953,8.097999572753906,7.645999908447266,8.067999839782715,14387500,129.02432250976562,44.95322036743164,2.91,-0.696,0.21,128.5,16.0,-2.5,7.522999954223633,,7.612440032958984,6.7898400068283085,13.021805776826776,46.062596817016605,44.781479625701905,2.8368333333333333,True,True,1.113566827138845,0.16292633494234576,,,,,,13.021805776826776,0.37131583630673093,0.34525921519463976,17.655224125506578,1,0.11601734470203298,1.8860516728999748,,,,50.0,72.06276726824672,40.65126050420168,,0.808673081842857,,False,False,False,False,False,False,False,False,False,无,正常跟踪中,False,11694.929122826397,11694.929122826397,1.0,WAITING,1523.9678718244797,0.0
2013-06-13,7.585999965667725,7.665999889373779,7.179999828338623,7.665999889373779,10213500,130.98663330078125,45.4682731628418,2.92,-0.696,0.15,128.5,16.0,-2.5,7.546199941635132,,7.626040029525757,6.798740005493164,11.579497941979401,46.05946502685547,44.794264087677,2.8371666666666666,True,True,0.9929107284308197,0.6438846372914896,,,,,,11.579497941979401,0.22401567080662943,0.16849327794363103,6.3685024675715365,1,0.15807870090487924,1.322550235802023,,,,50.0,70.84928229665073,42.05020920502092,,-0.5250439769921065,,False,False,False,False,False,False,False,False,False,无,正常跟踪中,False,11560.820223339219,11560.820223339219,1.0,WAITING,1523.9678718244797,0.0
2013-06-14,7.449999809265137,7.659999847412109,7.447999954223633,7.584000110626221,3229000,130.1649932861328,45.522220611572266,2.93,-0.678,0.09,128.5,16.0,-2.5,7.555999898910523,,7.634840021133423,6.806290004253388,9.457572387655018,46.057703475952145,44.8063592338562,2.8376666666666663,True,True,0.8129175210660028,0.6875959060036543,,,,,,9.457572387655018,0.023095054394962133,-0.060893136237497425,0.07779011936870027,1,0.18489416536802739,0.4185326083434321,,,,50.0,47.27843453128331,47.083333333333336,,-2.4210096263529257,,False,False,False,False,False,False,False,False,False,无,正常跟踪中,False,11353.56035441857,11353.56035441857,1.0,WAITING,1523.9678718244797,0.0
2013-06-17,7.607999801635742,7.636000156402588,7.492000102996826,7.552000045776367,4064500,131.17007446289062,45.517333984375,2.93,-0.678,0.15,128.5,16.0,-2.5,7.58179988861084,,7.646320018768311,6.815060002803802,11.635111023853101,46.05497016906738,44.818593921661375,2.838166666666667,True,True,1.0024980215465336,0.6751343862087792,,,,,,11.635111023853101,0.25082462959598517,-0.03468987018553016,2.048265028864277,1,0.16491093861340175,0.5249962541785277,,,,50.0,49.46227477477477,47.0954356846473,,-0.5011589501683089,1.1845089497282726,False,False,False,False,False,False,False,False,False,无,正常跟踪中,False,11594.347266539886,11594.347266539886,1.0,WAITING,1523.9678718244797,0.0
2013-06-18,7.533999919891357,7.688000202178955,7.446000099182129,7.673999786376953,6799500,132.20709228515625,45.63014602661133,2.92,-0.678,0.14,128.5,16.0,-2.5,7.613399887084961,,7.65480001449585,6.8234100031852725,10.413999969706799,46.053521881103514,44.831579761505125,2.8385000000000002,True,True,0.8998371353657377,0.7762701210150944,,,,,,10.413999969706799,0.3307551991076906,-0.065993588283804,1.261712390223801,1,0.17586506629552412,0.8710238998351326,,,,50.0,60.05320755593764,46.38429752066116,,-1.578096023093142,1.2512074232621113,False,False,False,False,False,False,False,False,False,无,正常跟踪中,False,11481.573824242632,11481.573824242632,1.0,WAITING,1523.9678718244797,0.0
2013-06-19,7.73799991607666,7.921999931335449,7.556000232696533,7.556000232696533,8074500,130.3804168701172,44.9483528137207,2.87,-0.678,0.29,128.5,16.0,-2.5,7.668999862670899,,7.666520013809204,6.832610003948211,13.251011111129857,46.03552436828613,44.84085248947144,2.8378333333333337,True,True,1.146687269116393,0.10525718529475032,,,,,,13.251011111129857,0.6777187056447699,0.06128057386760779,13.133557218991777,1,0.1567272924430155,1.0210856171659217,,,,50.0,62.90914948453609,36.31687242798354,,0.9323643861713564,1.29408232124146,False,False,False,False,False,False,False,False,False,无,正常跟踪中,False,11792.46326428135,11792.46326428135,1.0,WAITING,1523.9678718244797,0.0
2013-06-20,7.665999889373779,7.703999996185303,7.556000232696533,7.6620001792907715,5685500,127.14984893798828,44.50690841674805,2.93,-0.678,0.46,128.5,16.0,-2.5,7.70079984664917,,7.676440010070801,6.841160004138946,12.057017867292938,46.00578491210938,44.84801170349121,2.838166666666667,True,True,1.0450426131105204,-0.3364394652646992,,,,,,12.057017867292938,0.32349993829899615,0.019896853498473345,4.544107624049189,1,0.21611425225012154,0.7156091015962271,,,,50.0,58.656410256410254,47.33606557377049,,-0.13600211404407211,1.315845875000426,False,False,False,False,False,False,False,False,True,无,正常跟踪中,False,11682.737536815655,11682.737536815655,1.0,WAITING,1523.9678718244797,0.0
