date,VNQ,Action,Position,Strat_Shares,Strat_Cash,Strat_Equity,Bench_Shares,Bench_Equity,Composite_Radar_Score,Breadth_50,Homebuilder_CRE_Spread,Score_Dynamics,Score_Valuation,Score_Breadth,Score_Relative
2009-01-02,17.44291114807129,HOLD,1.0,57.32987982975381,0.0,1000.0,57.32987982975381,1000.0,52.8,0.7566666666666668,0.4,18.410041841004183,89.49771689497716,62.88782816229117,40.572792362768496
2009-01-05,17.121627807617188,HOLD,1.0,57.32987982975381,0.0,981.5808647004645,57.32987982975381,981.5808647004645,54.5,0.7066666666666668,0.6,17.083333333333332,89.97722095671982,73.33333333333333,32.61904761904762
2009-01-06,17.97671890258789,HOLD,1.0,57.32987982975381,0.0,1030.6031344186274,57.32987982975381,1030.6031344186274,42.4,0.8300000000000001,0.0,21.57676348547718,87.27272727272727,17.458432304038006,58.90736342042755
2009-01-07,17.373708724975586,HOLD,1.0,57.32987982975381,0.0,996.0326333999956,57.32987982975381,996.0326333999956,55.3,0.6766666666666667,0.4,19.421487603305785,86.39455782312925,62.796208530805686,60.426540284360186
2009-01-08,17.24520492553711,HOLD,1.0,57.32987982975381,0.0,988.6655260205209,57.32987982975381,988.6655260205209,57.3,0.6233333333333334,0.6,18.51851851851852,86.08597285067874,73.40425531914893,54.37352245862884
2009-01-09,16.36045265197754,HOLD,1.0,57.32987982975381,0.0,937.9427844982494,57.32987982975381,937.9427844982494,57.3,0.5700000000000001,0.8,12.704918032786885,85.66591422121897,87.14622641509435,39.386792452830186
2009-01-12,15.401556015014648,HOLD,1.0,57.32987982975381,0.0,882.9693555320117,57.32987982975381,882.9693555320117,50.1,0.42333333333333334,0.6000000000000001,9.387755102040817,85.36036036036036,75.05882352941177,23.058823529411764
2009-01-13,15.866174697875977,HOLD,1.0,57.32987982975381,0.0,909.6058887871102,57.32987982975381,909.6058887871102,53.0,0.45666666666666667,0.6000000000000001,11.38211382113821,85.1685393258427,75.0,38.497652582159624
2009-01-14,15.03579807281494,HOLD,1.0,57.32987982975381,0.0,862.0004966589244,57.32987982975381,862.0004966589244,33.2,0.2833333333333333,0.0,7.28744939271255,85.42600896860986,17.330210772833723,29.7423887587822
2009-01-15,15.530075073242188,HOLD,1.0,57.32987982975381,0.0,890.3373376960296,57.32987982975381,890.3373376960296,44.8,0.3466666666666667,0.2,10.483870967741936,85.23489932885906,44.04205607476636,47.66355140186916
2009-01-16,16.118257522583008,HOLD,1.0,57.32987982975381,0.0,924.0577668347091,57.32987982975381,924.0577668347091,49.1,0.5466666666666667,0.2,14.056224899598394,84.59821428571429,44.05594405594406,69.93006993006993
2009-01-20,14.314156532287598,HOLD,1.0,57.32987982975381,0.0,820.6288738603334,57.32987982975381,820.6288738603334,33.1,0.12000000000000001,-0.2,6.800000000000001,84.63251670378618,17.325581395348838,31.16279069767442
2009-01-21,15.811808586120604,HOLD,1.0,57.32987982975381,0.0,906.4890861333637,57.32987982975381,906.4890861333637,41.1,0.3833333333333334,0.0,14.342629482071715,86.0,17.40139211136891,67.05336426914154
2009-01-22,14.946823120117188,HOLD,1.0,57.32987982975381,0.0,856.8995733129042,57.32987982975381,856.8995733129042,44.0,0.2966666666666667,0.2,9.920634920634921,86.0310421286031,44.3287037037037,41.43518518518518
2009-01-23,15.401556015014648,HOLD,1.0,57.32987982975381,0.0,882.9693555320117,57.32987982975381,882.9693555320117,46.9,0.43,0.2,12.25296442687747,85.39823008849558,44.34180138568129,57.04387990762124
2009-01-26,15.312594413757324,HOLD,1.0,57.32987982975381,0.0,877.8691976224668,57.32987982975381,877.8691976224668,45.3,0.38000000000000006,0.2,11.41732283464567,84.98896247240619,44.354838709677416,49.07834101382488
2009-01-27,15.530075073242188,HOLD,1.0,57.32987982975381,0.0,890.3373376960296,57.32987982975381,890.3373376960296,46.1,0.38000000000000006,0.2,14.117647058823529,83.48017621145375,44.36781609195402,51.49425287356322
2009-01-28,16.874486923217773,HOLD,1.0,57.32987982975381,0.0,967.412307496827,57.32987982975381,967.412307496827,60.0,0.7400000000000001,0.4,24.609375,83.51648351648352,62.95871559633027,85.55045871559633
2009-01-29,15.495473861694336,HOLD,1.0,57.32987982975381,0.0,888.3536543960274,57.32987982975381,888.3536543960274,38.2,0.31666666666666665,0.0,14.785992217898833,83.33333333333334,17.276887871853546,51.48741418764302
2009-01-30,14.857861518859863,HOLD,1.0,57.32987982975381,0.0,851.7994154033594,57.32987982975381,851.7994154033594,35.4,0.32000000000000006,-0.2,10.852713178294573,82.71334792122538,17.35159817351598,41.55251141552511
2009-02-02,15.218677520751951,HOLD,1.0,123.03861165854876,0.0,1872.4849534324849,123.03861165854876,1872.4849534324849,38.8,0.32000000000000006,-0.2,13.513513513513514,82.53275109170306,17.425968109339408,58.997722095671975
2009-02-03,15.065455436706545,HOLD,1.0,123.03861165854876,0.0,1853.6327209361086,123.03861165854876,1853.6327209361086,49.6,0.41000000000000003,0.39999999999999997,12.307692307692308,82.57080610021787,61.70454545454545,44.77272727272727
2009-02-04,14.699694633483888,HOLD,1.0,123.03861165854876,0.0,1808.6300195084775,123.03861165854876,1808.6300195084775,42.2,0.3466666666666667,0.2,10.727969348659004,82.5,44.5578231292517,33.33333333333333
