date,ADBE,CDNS,CRM,CRWD,DDOG,FTNT,INTU,MSFT,NOW,ORCL,PANW,PLTR,SNOW,SNPS,WDAY
2010-01-04,37.09000015258789,6.119999885559082,18.38689613342285,,,1.7999999523162842,26.940757751464844,22.984241485595703,,19.878217697143555,,,,22.440000534057617,
2010-01-05,37.70000076293945,6.059999942779541,18.308258056640625,,,1.8389999866485596,26.940757751464844,22.991657257080078,,19.854209899902344,,,,22.25,
2010-01-06,37.619998931884766,6.130000114440918,18.276309967041016,,,1.940999984741211,26.564756393432617,22.850566864013672,,19.566232681274414,,,,22.209999084472656,
2010-01-07,36.88999938964844,6.25,18.195215225219727,,,1.9450000524520874,26.47732162475586,22.6129207611084,,19.502254486083984,,,,22.149999618530273,
2010-01-08,36.689998626708984,6.340000152587891,18.222246170043945,,,2.010999917984009,27.176849365234375,22.768878936767578,,19.742216110229492,,,,22.309999465942383,
2010-01-11,36.209999084472656,6.340000152587891,18.09937286376953,,,2.005000114440918,27.29926300048828,22.4792537689209,,19.75021743774414,,,,22.1200008392334,
2010-01-12,35.65999984741211,6.199999809265137,16.78215789794922,,,1.9789999723434448,27.29926300048828,22.330726623535156,,19.64622688293457,,,,21.799999237060547,
2010-01-13,36.279998779296875,6.389999866485596,16.833765029907227,,,1.944000005722046,27.61404800415039,22.538660049438477,,19.83821678161621,,,,22.010000228881836,
2010-01-14,35.900001525878906,6.320000171661377,17.00333595275879,,,1.9900000095367432,27.7889404296875,22.991657257080078,,20.311126708984375,,,,22.190000534057617,
2010-01-15,35.869998931884766,6.21999979019165,16.86571502685547,,,1.9630000591278076,27.50912094116211,22.91739845275879,,20.230966567993164,,,,21.969999313354492,
2010-01-19,36.95000076293945,6.21999979019165,17.079511642456055,,,1.9800000190734863,27.745222091674805,23.09562873840332,,20.30310821533203,,,,21.979999542236328,
2010-01-20,36.4900016784668,6.179999828338623,16.846054077148438,,,1.906000018119812,27.29926300048828,22.716896057128906,,20.086688995361328,,,,21.979999542236328,
2010-01-21,35.81999969482422,6.119999885559082,16.435651779174805,,,1.8389999866485596,26.966983795166016,22.286182403564453,,19.9023380279541,,,,22.219999313354492,
2010-01-22,34.380001068115234,5.96999979019165,15.860603332519531,,,1.7879999876022339,26.319917678833008,21.506410598754883,,19.357290267944336,,,,21.889999389648438,
2010-01-25,34.15999984741211,5.949999809265137,15.759845733642578,,,1.8009999990463257,26.547269821166992,21.773759841918945,,19.261098861694336,,,,21.739999771118164,
2010-01-26,33.939998626708984,5.929999828338623,16.074405670166016,,,1.8309999704360962,26.258708953857422,21.907428741455078,,19.140878677368164,,,,21.459999084472656,
2010-01-27,33.13999938964844,5.989999771118164,16.071945190429688,,,1.8650000095367432,26.241220474243164,22.033676147460938,,19.124834060668945,,,,21.530000686645508,
