date,BAA10Y,HY_OAS_3Y,NFCI,Real_Yield,DXY,CFNAI,INDPRO_YoY,Copper_Gold,HYG,SPY,QQQ,SMH,SOXX,IGV,XLE,OIL,AIG,AXP,BAC,BK,BKU,BLK,BRK_B,C,CB,CBSH,CFG,CFR,CME,COF,EWBC,FCNCA,FITB,GS,HBAN,ICE,JPM,KEY,KRE,MA,MCO,MET,MS,MTB,PGR,PNC,SCHW,SPGI,TFC,TRV,USB,V,WAL,WFC,XLF,ZION,MA10,MA20,MA50,MA200,Dist_200MA,Score_Dynamics,Ratio_XLF,Score_Valuation,Breadth_Regional_Banks,Breadth_GSIBs,Breadth_Brokers,Breadth_Insurance_Payments,Breadth_50,Bank_Stress_Spread,High_60,Score_Breadth,Ratio_SPY,Score_Relative,Composite_Radar_Score,Below_MA50_3D,Below_MA200_3D,Above_MA20_Conf,Above_MA50_Conf,KRE_Drop_10d,Ratio_XLF_Drop_10d,Cond_Panic,Cond_Bubble,Cond_Bear,Sell_Signal,Bench_Equity,Strat_Equity,Position
2009-01-02,5.72,,2.584,2.29,98.6008,-3.04,-13.374567704176645,0.0016431497789941,26.08003234863281,67.80656433105469,26.75530433654785,7.8038506507873535,8.275961875915527,6.421909809112549,14.329315185546877,46.34000015258789,20.842697143554688,14.734090805053713,10.885951042175291,,,89.02069091796875,66.45999908447266,52.06682968139648,36.89329147338867,17.325340270996094,,29.35492515563965,21.493257522583008,25.014110565185547,11.40527057647705,140.32980346679688,5.210844993591309,63.752685546875,4.547152042388916,14.332398414611816,20.480751037597656,5.103001117706299,19.806396484375,13.6579008102417,17.93226432800293,19.02734375,11.58611011505127,33.63719940185547,8.686399459838867,29.752840042114254,12.886378288269045,17.164962768554688,13.959288597106934,29.92210578918457,15.116175651550291,11.761836051940918,8.688883781433105,19.005067825317383,7.513208389282227,18.038145065307617,18.81961612701416,18.61375494003296,19.02689125061035,20.828331542015075,-4.906466250446511,80.3347280334728,2.636210185868038,67.78042959427208,0.25,0.25,0.75,0.75,0.425,0.0,22.77677154541016,22.315035799522672,0.2921014606738286,50.59665871121718,58.2,False,True,True,True,5.535486397955514,5.214968458472028,False,False,False,False,1000.0,1000.0,1.0
2009-01-05,5.82,,2.584,2.34,98.9195,-3.04,-13.374567704176645,0.0016822211980125,27.33981704711914,67.72633361816406,26.74668312072754,7.761391639709473,8.273178100585938,6.363686561584473,14.666474342346191,48.810001373291016,20.47269821166992,15.20668601989746,10.620065689086914,,,88.8031234741211,66.9800033569336,51.62929534912109,36.63588333129883,16.860198974609375,,26.94027709960937,21.26676750183105,24.81135368347168,10.630224227905272,139.55706787109375,5.095588684082031,65.23699188232422,4.438886642456055,12.371589660644531,19.10883140563965,4.878628253936768,18.96299171447754,13.975227355957031,17.94036293029785,18.7734317779541,12.015731811523438,31.665441513061523,8.605809211730957,29.45279884338379,12.440370559692385,17.1510066986084,13.515386581420898,29.478559494018555,14.373842239379885,11.845471382141112,8.75757122039795,17.776081085205078,7.38857889175415,17.554723739624023,18.869132041931152,18.652831745147704,19.00629238128662,20.802242913246154,-8.841600429526004,65.0,2.5665276086637907,52.142857142857146,0.08333333333333333,0.0,0.75,0.75,0.29583333333333334,-0.08333333333333333,22.77677154541016,22.380952380952383,0.2799943641034734,26.904761904761905,45.4,False,True,True,False,2.681197955520198,1.0894212447827532,False,False,True,True,1000.0,1000.0,0.0
2009-01-06,5.77,,2.584,2.09,98.7871,-3.04,-13.374567704176645,0.0018095677612229,27.570425033569336,68.17857360839844,27.013973236083984,8.135025978088379,8.719172477722168,6.4859538078308105,14.826478958129885,48.58000183105469,21.4593448638916,16.060382843017578,10.847968101501465,,,89.48137664794922,66.66000366210938,54.400367736816406,35.90863037109375,16.645524978637695,,26.68364906311035,20.5246639251709,25.63739585876465,10.05427360534668,139.74102783203125,5.125918388366699,65.18557739257812,4.387602806091309,10.607362747192385,19.520404815673828,4.999443054199219,19.00380516052246,14.774025917053224,18.595827102661133,18.8369140625,13.352325439453123,31.30160903930664,8.623075485229492,29.7834529876709,13.244775772094728,17.77873420715332,13.41093921661377,28.578256607055664,14.21819019317627,12.679632186889648,8.912115097045898,17.446659088134766,7.507268905639648,18.146371841430664,18.905180168151855,18.647329902648927,19.002759857177736,20.77415829181671,-8.521900653811914,66.80497925311202,2.5313872993474797,38.95486935866984,0.08333333333333333,0.0,0.75,0.75,0.29583333333333334,-0.08333333333333333,22.77677154541016,22.446555819477435,0.278735739906731,22.327790973871732,42.1,False,True,True,False,1.9335675557275778,-1.45074375937691,False,False,False,False,1002.1522683055207,1002.1522683055207,0.0
2009-01-07,5.71,,2.584,2.05,98.089,-3.04,-13.374567704176645,0.0017768399529043,27.07134437561035,66.13623046875,26.24658203125,7.6722307205200195,8.309414863586426,6.29770040512085,14.197877883911133,42.630001068115234,20.226036071777344,15.383843421936035,10.414959907531738,,,83.6904525756836,63.79999923706055,52.13974380493164,34.44011306762695,15.993544578552246,,25.808786392211918,20.088886260986328,23.79006004333496,9.663193702697754,137.98402404785156,4.810479164123535,62.09199905395508,4.074203968048096,10.859880447387695,18.351009368896484,4.573715686798096,18.051570892333984,13.879573822021484,18.417804718017575,17.160053253173828,12.343064308166504,29.10684967041016,8.461896896362305,29.58139419555664,12.782838821411133,17.241676330566406,12.38955783843994,27.446245193481445,13.990700721740724,12.404510498046877,8.396965026855469,16.388708114624023,7.115588665008545,16.29204750061035,18.870491600036623,18.577566719055177,18.997498321533204,20.740458731651305,-12.964456929845532,33.057851239669425,2.536904779376016,38.62559241706161,0.0,0.0,0.75,0.625,0.24375000000000002,0.0,22.77677154541016,22.511848341232227,0.2729452641069939,12.322274881516588,28.7,False,True,False,False,-1.8854064185592323,-3.4401797419323983,False,False,True,True,951.9368654552688,1002.1522683055207,0.0
2009-01-08,5.71,,2.584,1.97,98.3223,-3.04,-13.374567704176645,0.0017133153967663,26.67892837524414,66.40608978271484,26.52249336242676,7.667981624603271,8.301053047180176,6.301582336425781,14.380744934082031,41.70000076293945,20.34937858581543,15.406895637512209,10.285819053649902,,,85.18778991699219,65.33999633789062,52.212669372558594,34.61494064331055,16.025341033935547,,26.10623359680176,19.434728622436523,23.22684669494629,9.300559043884276,138.29689025878906,4.889340400695801,62.76067352294922,4.000126838684082,10.981901168823242,17.782642364501953,4.619740962982178,17.96994972229004,13.944375038146973,18.328784942626957,17.530336380004883,12.834059715270996,28.93080711364746,8.600050926208496,29.97328186035156,12.862483978271484,16.495370864868164,12.501272201538086,27.955968856811523,13.864981651306152,12.272452354431152,8.448479652404785,16.293685913085938,7.085917472839356,16.01786994934082,18.850766372680663,18.55433769226074,18.993934059143065,20.709470562934875,-13.228348027148215,32.098765432098766,2.5360088924503668,37.5886524822695,0.0,0.0,0.75,0.625,0.24375000000000002,0.0,22.77677154541016,22.576832151300234,0.2706069545893895,9.219858156028367,27.7,False,True,False,False,-1.085760336702557,-4.565194167792331,False,False,True,True,947.6326305922842,1002.1522683055207,0.0
2009-01-09,5.72,,2.429,1.87,98.8752,-3.04,-13.374567704176645,0.0018090835328782,27.07134437561035,64.98371124267578,25.92755508422852,7.43870735168457,8.008369445800781,6.194840908050537,13.89786434173584,40.83000183105469,19.97938346862793,14.784170150756836,9.86800479888916,,,81.457275390625,62.81999969482422,49.22283554077149,34.78975296020508,15.564181327819824,,25.13804244995117,19.03131103515625,22.02532958984375,8.72460651397705,133.57777404785156,4.543566703796387,61.66579055786133,3.7835943698883057,10.8259859085083,16.966028213500977,4.360849857330322,17.085735321044922,13.694290161132812,18.63629531860352,16.85853385925293,12.997724533081056,28.22659683227539,8.387066841125488,28.993558883666992,12.312942504882812,16.404708862304688,12.256567001342772,27.79048538208008,13.38006591796875,12.241639137268066,7.821717262268066,15.92624568939209,6.860397815704346,15.714829444885254,18.70861110687256,18.48190269470215,18.935390243530275,20.677541975975036,-17.37056879924793,17.62295081967213,2.4904875460623352,16.27358490566038,0.0,0.0,0.75,0.625,0.24375000000000002,0.0,22.77677154541016,22.641509433962266,0.2629233540885314,5.188679245283019,16.7,True,True,False,False,-7.681042515166981,-6.0039355059782,False,False,True,True,901.0042074743194,1002.1522683055207,0.0
2009-01-12,5.71,,2.429,1.75,99.6022,-3.04,-13.374567704176645,0.0017981226938822,26.48275756835937,63.42277908325195,25.45332145690918,7.243399620056152,7.763070583343506,6.132739067077637,13.349263191223145,37.59000015258789,18.992753982543945,14.476645469665527,8.682933807373047,,,79.044921875,62.77999877929688,40.83672332763672,33.006561279296875,15.576106071472168,,25.371335983276367,19.12735748291016,20.380748748779297,8.226869583129883,131.4619903564453,4.167463302612305,57.07320022583008,3.424609661102295,10.380267143249512,16.273540496826172,4.009910583496094,16.493995666503906,13.511747360229492,18.603912353515625,15.372109413146973,12.81360149383545,26.677370071411133,8.32374382019043,28.160789489746094,12.097907066345217,15.937392234802246,11.793757438659668,27.16158676147461,12.978959083557127,11.656188011169434,7.555553913116455,15.07735538482666,6.498387336730957,15.022164344787598,18.485516357421876,18.441817569732667,18.86887432098389,20.64620105266571,-20.111231967421418,12.244897959183673,2.538167519389708,35.294117647058826,0.0,0.0,0.5,0.25,0.1375,0.0,22.77677154541016,22.705882352941174,0.2600642214818914,3.7647058823529407,19.4,True,True,False,False,-11.914308499222258,-5.237474065589672,False,False,True,True,869.7992339421502,1002.1522683055207,0.0
2009-01-13,5.72,,2.429,1.74,100.3597,-3.04,-13.374567704176645,0.0018686746423999,26.38635635375977,63.53949737548828,25.46194267272949,7.311333179473877,7.774219989776611,6.113331317901611,13.683565139770508,37.77999877929688,19.486068725585938,14.599658966064451,8.090394020080566,,,81.25889587402344,63.959999084472656,43.0244140625,34.36319732666016,15.870295524597168,,26.25788116455078,18.70676040649414,20.98151206970215,8.369080543518066,134.36883544921875,4.118934154510498,57.25688552856445,3.367626667022705,10.478565216064451,17.214279174804688,4.257293224334717,16.80687141418457,13.730799674987791,18.63629531860352,15.509637832641602,12.861337661743164,27.58108711242676,8.266180038452148,28.17916488647461,12.56780242919922,15.916474342346191,11.889511108398438,27.664703369140625,13.284279823303224,11.695806503295898,7.735856056213379,15.444791793823242,6.587407112121582,15.808632850646973,18.318876457214355,18.38074712753296,18.78876949310303,20.614848313331603,-18.472010277584324,15.040650406504067,2.5513637047356625,38.26291079812207,0.0,0.0,0.75,0.5,0.22500000000000003,0.0,22.77677154541016,22.769953051643192,0.2645106132153349,7.511737089201878,21.6,True,True,False,False,-9.020595511926633,-4.266697626402805,False,False,True,True,886.2985159326494,1002.1522683055207,0.0
2009-01-14,5.68,,2.429,1.79,100.7546,-3.04,-13.374567704176645,0.0018225687049528,26.049055099487305,61.54090881347656,24.68592643737793,6.992895126342773,7.462027072906494,5.913435459136963,13.029241561889648,37.27999877929688,18.376108169555664,13.707837104797363,7.748547077178955,,,76.53015899658203,62.0,33.03400039672852,33.335235595703125,15.381309509277344,,25.38883209228516,17.774559020996094,19.209278106689453,7.714916706085205,130.62489318847656,3.803492546081543,55.61824798583984,2.820601224899292,9.997257232666016,16.92682647705078,3.986899137496948,15.807025909423828,13.261667251586914,19.2593936920166,14.573348999023438,11.72249984741211,26.51304817199707,7.690539360046387,26.97397232055664,11.930649757385254,15.497991561889648,11.586285591125488,26.479734420776367,12.613774299621582,11.218202590942385,7.435347557067871,14.61489963531494,6.2075934410095215,15.14482879638672,17.982194328308104,18.295325088500977,18.66669013977051,20.573111205101014,-23.166575284420063,7.28744939271255,2.5464016062967523,36.29976580796253,0.0,0.0,0.5,0.125,0.11875000000000001,0.0,22.77677154541016,22.833723653395786,0.2568539564037494,3.278688524590164,17.8,True,True,False,False,-17.559445708570642,-4.397350998043946,False,False,False,False,833.5723680855564,1002.1522683055207,0.0
2009-01-15,5.68,,2.429,1.78,101.4653,-3.04,-13.374567704176645,0.0017831908081846,25.945783615112305,61.562744140625,25.091176986694336,7.149991989135742,7.5958251953125,5.944486141204834,13.192108154296877,35.400001525878906,17.38946533203125,13.315744400024414,6.320383071899414,,,74.65528106689453,61.86000061035156,27.92939567565918,34.048519134521484,15.03543186187744,,25.36551284790039,16.960649490356445,19.12666702270508,6.961196899414063,128.78512573242188,3.263603448867798,54.25151062011719,2.444521188735962,9.729487419128418,15.901156425476074,3.5784292221069336,15.446547508239746,11.892603874206545,18.175037384033203,14.832539558410645,11.088297843933104,24.99316024780273,8.053192138671875,25.874378204345703,11.85897159576416,15.19109058380127,11.166032791137695,26.466487884521484,11.386524200439451,10.868250846862791,7.289389610290527,12.771413803100586,5.922732830047607,13.160630226135254,17.5434889793396,18.129608869552612,18.536735286712645,20.52894778251648,-24.75723708842579,5.64516129032258,2.6080101789963037,53.73831775700935,0.0,0.0,0.25,0.0,0.05,0.0,22.77677154541016,22.897196261682243,0.2509073908881627,1.4018691588785046,21.3,True,True,False,False,-22.119298911700792,-2.297937345409598,False,False,False,False,814.562793720301,1002.1522683055207,0.0
