date,BAA10Y,HY_OAS_3Y,NFCI,Real_Yield,DXY,CFNAI,INDPRO_YoY,Copper_Gold,HYG,SPY,QQQ
2007-04-11,1.71,,-0.565,2.28,96.0293,-0.09,2.9076019270608766,0.0052829492847713,31.223073959350582,101.1222915649414,37.89363861083984
2007-04-12,1.71,,-0.565,2.28,95.7999,-0.09,2.9076019270608766,0.0051740485214592,31.24401092529297,101.57170104980467,38.19361877441406
2007-04-13,1.7,,-0.561,2.31,95.711,-0.09,2.9076019270608766,0.0051495475370703,31.18718147277832,102.0351333618164,38.27074813842773
2007-04-16,1.68,,-0.561,2.3,95.5538,-0.09,2.9076019270608766,0.0051166497954336,31.17520332336425,103.0040512084961,38.62217712402344
2007-04-17,1.68,,-0.561,2.29,95.3832,-0.09,2.9076019270608766,0.0053385643121585,31.160234451293945,103.2778549194336,38.70790863037109
2007-04-18,1.67,,-0.561,2.26,95.3109,-0.09,2.9076019270608766,0.0052459732079701,31.16922950744629,103.40430450439452,38.57933044433594
2007-04-19,1.67,,-0.561,2.27,95.2712,-0.09,2.9076019270608766,0.0052374692014615,31.276939392089844,103.37620544433594,38.6993293762207
2007-04-20,1.68,,-0.556,2.27,95.1692,-0.09,2.9076019270608766,0.0052117050727667,31.25898551940918,104.3521499633789,38.91358947753906
2007-04-23,1.68,,-0.556,2.25,95.1833,-0.09,2.9076019270608766,0.005257023177739,31.276939392089844,103.958984375,38.97360610961914
2007-04-24,1.68,,-0.556,2.21,95.1608,-0.09,2.9076019270608766,0.0051885411999117,31.49236869812012,104.0010986328125,39.1707649230957
2007-04-25,1.68,,-0.556,2.22,94.8497,-0.09,2.9076019270608766,0.0052404621635549,31.540254592895508,104.95597076416016,39.69359970092773
2007-04-26,1.69,,-0.556,2.26,95.1653,-0.09,2.9076019270608766,0.0051666911578248,31.59711456298828,105.07537841796876,39.8993034362793
2007-04-27,1.68,,-0.548,2.25,95.0103,-0.09,2.9076019270608766,0.0051782817732632,31.59711456298828,104.9911117553711,39.91645050048828
2007-04-30,1.68,,-0.548,2.2,94.8365,-0.09,2.9076019270608766,0.0052042617069107,31.600067138671875,104.12043762207033,39.39359664916992
2007-05-01,1.67,,-0.548,2.19,95.0037,0.05,2.9798485426711263,0.0053610614507885,31.603984832763672,104.3873062133789,39.35931396484375
2007-05-02,1.66,,-0.548,2.22,95.0352,0.05,2.9798485426711263,0.005397144207384,31.591981887817383,104.99812316894533,39.78786849975586
2007-05-03,1.64,,-0.548,2.25,95.0167,0.05,2.9798485426711263,0.005444411791799,31.59501266479492,105.56686401367188,39.9336051940918
2007-05-04,1.64,,-0.539,2.24,94.9118,0.05,2.9798485426711263,0.005457654099445,31.63400077819824,105.96709442138672,39.96786880493164
2007-05-07,1.64,,-0.539,2.27,94.6914,0.05,2.9798485426711263,0.0053931686074234,31.6309871673584,105.98810577392578,39.96786880493164
2007-05-08,1.66,,-0.539,2.27,94.8648,0.05,2.9798485426711263,0.0054232962323061,31.65498161315918,105.84770965576172,40.0535774230957
2007-05-09,1.65,,-0.539,2.29,94.7933,0.05,2.9798485426711263,0.0054027634602798,31.57097625732422,106.13558959960938,40.13931655883789
2007-05-10,1.66,,-0.539,2.27,94.9506,0.05,2.9798485426711263,0.0053585927260654,31.685009002685547,105.02621459960938,39.59074020385742
2007-05-11,1.66,,-0.529,2.3,95.0035,0.05,2.9798485426711263,0.0053698183740992,31.70301055908203,105.92494201660156,40.09646224975586
2007-05-14,1.65,,-0.529,2.32,94.8267,0.05,2.9798485426711263,0.0052236351578112,31.70000648498535,105.69322967529295,39.8221549987793
2007-05-15,1.65,,-0.529,2.37,94.5574,0.05,2.9798485426711263,0.0052503714058409,31.67601776123047,105.72132873535156,39.51358795166016
2007-05-16,1.64,,-0.529,2.38,94.8143,0.05,2.9798485426711263,0.0051863071213058,31.7600212097168,106.444580078125,39.8993034362793
2007-05-17,1.64,,-0.529,2.41,94.8339,0.05,2.9798485426711263,0.0050426698471544,31.75098419189453,106.23390197753906,39.710731506347656
2007-05-18,1.63,,-0.52,2.46,94.6573,0.05,2.9798485426711263,0.0050355522427003,31.7600212097168,107.16072845458984,40.03643798828125
2007-05-21,1.63,,-0.52,2.43,94.7026,0.05,2.9798485426711263,0.0051380295270332,31.78999900817871,107.10456085205078,40.29359436035156
2007-05-22,1.63,,-0.52,2.48,94.5753,0.05,2.9798485426711263,0.0050197241299503,31.793025970458984,107.02027130126952,40.32787322998047
2007-05-23,1.63,,-0.52,2.5,94.4557,0.05,2.9798485426711263,0.0049916902537398,31.76898956298828,107.03435516357422,40.13931655883789
2007-05-24,1.63,,-0.52,2.48,94.7025,0.05,2.9798485426711263,0.0048751915030603,31.77798080444336,106.06536865234376,39.56503677368164
2007-05-25,1.62,,-0.511,2.49,94.5022,0.05,2.9798485426711263,0.0050786139928481,31.82301902770996,106.50769805908205,39.81359100341797
2007-05-28,1.62,,-0.511,2.49,94.4959,0.05,2.9798485426711263,0.0050786139928481,31.82301902770996,106.50769805908205,39.81359100341797
2007-05-29,1.62,,-0.511,2.54,94.3533,0.05,2.9798485426711263,0.0050616346047474,31.69699478149414,106.89386749267578,40.12215423583984
2007-05-30,1.61,,-0.511,2.52,94.549,0.05,2.9798485426711263,0.0050620121235067,31.76898956298828,107.76455688476562,40.447853088378906
2007-05-31,1.6,,-0.511,2.54,94.3215,0.05,2.9798485426711263,0.0051338881840323,31.718002319335938,107.65222930908205,40.63644790649414
2007-06-01,1.6,,-0.504,2.57,94.132,-0.02,2.7140344521729087,0.0050692786833856,31.713775634765625,108.18584442138672,40.66215515136719
2007-06-04,1.58,,-0.504,2.55,93.9969,-0.02,2.7140344521729087,0.0051669897916723,31.740922927856445,108.1999282836914,40.78214263916016
2007-06-05,1.57,,-0.504,2.6,93.9986,-0.02,2.7140344521729087,0.0051471030295761,31.695688247680664,107.77159118652344,40.78214263916016
2007-06-06,1.6,,-0.504,2.58,94.1217,-0.02,2.7140344521729087,0.0050724638321324,31.65644645690918,106.6130599975586,40.345008850097656
2007-06-07,1.6,,-0.504,2.7,94.3537,-0.02,2.7140344521729087,0.0051158918623841,31.50861930847168,104.68921661376952,39.71931457519531
2007-06-08,1.62,,-0.501,2.69,94.7599,-0.02,2.7140344521729087,0.005047250034087,31.424131393432617,106.05133056640624,40.20785140991211
2007-06-11,1.61,,-0.501,2.72,94.6576,-0.02,2.7140344521729087,0.0051215041007034,31.35774040222168,106.23390197753906,40.13073348999024
2007-06-12,1.6,,-0.501,2.83,94.6991,-0.02,2.7140344521729087,0.0050693907550232,31.19783592224121,105.07537841796876,39.890724182128906
2007-06-13,1.58,,-0.501,2.75,94.9011,-0.02,2.7140344521729087,0.0051187905210059,31.25214385986328,106.64808654785156,40.32787322998047
2007-06-14,1.57,,-0.501,2.77,94.9029,-0.02,2.7140344521729087,0.0052140886516943,31.27629280090332,107.32928466796876,40.59358215332031
2007-06-15,1.6,,-0.498,2.73,94.6228,-0.02,2.7140344521729087,0.0052299466726887,31.270238876342773,107.93988800048828,40.96843719482422
2007-06-18,1.6,,-0.498,2.73,94.5475,-0.02,2.7140344521729087,0.0052157671602978,31.28838539123535,107.81304931640624,40.977012634277344
2007-06-19,1.6,,-0.498,2.67,94.3227,-0.02,2.7140344521729087,0.0051453001822001,31.32758903503418,108.08094787597656,40.96843719482422
2007-06-20,1.57,,-0.498,2.73,94.3618,-0.02,2.7140344521729087,0.005254534550751,31.04999351501465,106.5789566040039,40.58243560791016
2007-06-21,1.6,,-0.498,2.74,94.6073,-0.02,2.7140344521729087,0.0052359364108821,31.107322692871094,107.17127990722656,40.951290130615234
2007-06-22,1.6,,-0.493,2.7,94.4371,-0.02,2.7140344521729087,0.0051805661120484,31.16767311096192,106.16289520263672,40.56526565551758
