date,APA,AR,BKR,BP,CHK,CHX,COP,CTRA,CVX,DVN,EOG,EPD,EQNR,EQT,ET,FANG,FTI,HAL,HES,KMI,MPC,MPLX,MRO,MUR,NBR,NOV,OKE,OVV,OXY,PSX,PTEN,RIG,SHEL,SLB,SM,TRGP,TTE,VLO,WHD,WMB,XOM
2008-01-02,78.2944564819336,,39.386138916015625,26.794349670410156,,,35.10618209838867,,44.79191970825195,56.500511169433594,31.204811096191406,4.7526350021362305,11.499138832092285,24.30914878845215,2.2868282794952393,,18.506528854370117,28.46549415588379,,,,,,40.213871002197266,1207.320556640625,52.04617691040039,7.3967509269714355,116.79791259765625,45.3499870300293,,14.610894203186035,116.05677795410156,32.40605163574219,65.75655364990234,33.711082458496094,,28.88338851928711,35.57780456542969,,12.326028823852539,48.13150405883789
2008-01-03,78.49319458007812,,39.47834396362305,27.305700302124023,,,35.249969482421875,,45.343040466308594,57.27701187133789,31.85087013244629,4.831474781036377,11.690549850463867,24.286693572998047,2.253743886947632,,20.980316162109375,28.78185272216797,,,,,,38.892913818359375,1197.4945068359375,53.047584533691406,7.439754009246826,119.51611328125,46.6002311706543,,14.512228012084961,116.0488510131836,33.09988021850586,66.8875732421875,33.891029357910156,,29.51459503173828,34.03071975708008,,12.642965316772461,48.29621124267578
2008-01-04,76.22193908691406,,38.6386833190918,26.907573699951172,,,34.17551040649414,,44.739192962646484,55.6500358581543,30.411773681640625,4.8165998458862305,11.263565063476562,24.003707885742188,2.2206571102142334,,20.46293067932129,27.965194702148438,,,,,,38.096595764160156,1159.0447998046875,51.32102966308594,7.332248210906982,116.78115844726562,45.00849151611328,,14.05408763885498,113.2816162109375,32.429168701171875,64.06981658935547,32.48569107055664,,29.157381057739258,32.85757827758789,,12.260576248168945,47.39543533325195
2008-01-07,74.97276306152344,,38.04169845581055,27.389705657958984,,,33.70816421508789,,44.154476165771484,55.3419075012207,30.292173385620117,4.783873558044434,11.20098876953125,23.97227668762207,2.2174136638641357,,20.13955307006836,27.479616165161133,,,,,,37.478294372558594,1141.9561767578125,49.67731857299805,7.290894985198975,115.58987426757812,44.2213020324707,,13.772165298461914,111.40498352050781,33.22707748413086,63.291847229003906,32.84560775756836,,29.861417770385742,32.632179260253906,,12.198572158813477,46.952796936035156
2008-01-08,73.20543670654297,,37.78446578979492,26.951400756835938,,,32.95722579956055,,43.58894348144531,53.77040100097656,29.693967819213867,4.810649394989014,11.318778038024902,23.92286491394043,2.216764450073242,,20.036075592041016,26.89839744567871,,,,,,36.667930603027344,1119.740478515625,49.13861846923828,7.266085624694824,114.86841583251953,43.12155532836914,,13.426804542541504,110.5302734375,32.03215408325195,63.22645950317383,31.945825576782227,,29.653339385986328,32.391422271728516,,12.264019966125488,46.35055923461914
2008-01-09,76.42778015136719,,38.32320022583008,26.220935821533203,,,33.436546325683594,,44.365360260009766,55.027610778808594,30.483579635620117,4.801726341247559,11.219392776489258,24.475341796875,2.1953554153442383,,19.809711456298828,27.030820846557617,,,,,,37.63754653930664,1136.40234375,50.3057746887207,7.993852138519287,115.33818054199219,43.93770980834961,,13.497286796569824,111.99341583251953,32.47541427612305,64.46864318847656,32.322872161865234,,29.847543716430664,31.592267990112305,,12.401819229125977,47.12778091430664
2008-01-10,75.26377868652344,,38.269832611083984,26.104042053222656,,,33.51244354248047,,44.04424285888672,54.63315200805664,30.428897857666016,4.777922630310059,11.00958251953125,24.475341796875,2.1713526248931885,,19.93906593322754,26.626163482666016,,,,,,37.464237213134766,1162.8900146484375,49.829246520996094,8.104667663574219,113.97905731201172,42.25334930419922,,13.37042236328125,109.44882202148438,32.13236999511719,63.474876403808594,32.29717254638672,,29.70882225036621,31.94573402404785,,12.394930839538574,47.17926025390625
2008-01-11,74.46883392333984,,38.49307632446289,25.62191390991211,,,33.16891860961914,,43.45473861694336,53.7210807800293,30.39811897277832,4.7377610206604,10.601001739501953,24.71339988708496,2.1544837951660156,,19.379627227783203,26.427522659301758,,,,,,36.592979431152344,1165.452880859375,48.22697830200195,7.957461357116699,112.75428009033203,42.091278076171875,,13.67348575592041,108.45487213134766,31.453943252563477,61.46123504638672,31.962976455688477,,29.174724578857422,30.54210090637207,,12.105550765991211,46.47926330566406
2008-01-14,77.05238342285156,,38.580440521240234,25.65113639831543,,,33.30873107910156,,43.569793701171875,55.58839797973633,31.847429275512695,4.712474346160889,10.744560241699219,25.04578399658203,2.146700859069824,,20.116914749145508,26.84688949584961,,,,,,37.478294372558594,1205.1849365234375,50.140037536621094,8.139405250549316,113.99585723876953,43.613548278808594,,14.505178451538086,112.717041015625,31.762310028076172,62.454994201660156,32.365718841552734,,29.556222915649414,30.6701717376709,,12.301915168762207,46.752052307128906
2008-01-15,74.2771987915039,,37.182640075683594,24.60289192199707,,,32.19828414916992,,42.30452346801758,53.801185607910156,31.13235092163086,4.672310829162598,10.549467086791992,25.373687744140625,2.1512396335601807,,18.71671485900879,26.0155029296875,,,,,,35.857566833496094,1173.5703125,47.18411636352539,8.088129997253418,110.27099609375,41.66295623779297,,14.145715713500977,105.81487274169922,30.92970848083496,58.14009475708008,31.35456657409668,,28.64061737060547,28.12413787841797,,11.781728744506836,45.82040023803711
2008-01-16,70.72834777832031,,36.13914108276367,24.076936721801758,,,30.79230308532715,,41.33641815185547,51.8167839050293,30.318012237548828,4.670822620391846,9.934758186340332,24.681957244873047,2.13761830329895,,17.691631317138672,25.404844284057617,,,,,,33.91829299926758,1146.65576171875,44.297279357910156,8.088129997253418,106.32787322998047,40.55741500854492,,13.67348575592041,103.38158416748047,29.877399444580078,56.15916442871094,30.8918399810791,,27.579322814941406,27.488914489746094,,11.671489715576172,44.538734436035156
2008-01-17,67.45137786865234,,34.78986358642578,23.54001808166504,,,29.350341796875,,39.65900802612305,49.73377990722656,28.737281799316406,4.621731758117676,9.485687255859375,23.20868682861328,2.1226959228515625,,17.31652069091797,24.499887466430664,,,,,,32.892452239990234,1111.196533203125,41.45875549316406,7.871453762054443,103.40840911865234,39.44609832763672,,13.222397804260254,100.0179672241211,29.1989688873291,53.94289016723633,29.13514518737793,,26.77816390991211,26.700002670288086,,10.930830001831055,43.19019317626953
2008-01-18,68.12667083740234,,34.82868576049805,23.748210906982422,,,29.114681243896484,,39.99927520751953,50.436309814453125,29.127328872680664,4.544381618499756,9.776479721069336,22.916725158691406,2.108423948287964,,17.261545181274414,23.837745666503906,,,,,,33.23908996582031,1091.9716796875,41.12727355957031,7.790409564971924,104.39834594726562,39.38243103027344,,13.12372875213623,102.10931396484375,29.010095596313477,51.98806381225586,29.495052337646484,,27.124984741210938,27.678457260131836,,10.94460678100586,43.79241943359375
2008-01-22,65.93020629882812,,33.93564224243164,22.820491790771484,,,28.431644439697266,,38.94011306762695,48.86479568481445,28.555931091308594,4.487856388092041,9.603477478027344,22.28339195251465,2.1019370555877686,,16.92201042175293,23.506654739379883,,,,,,32.85029983520508,1073.1739501953125,40.139644622802734,7.6432013511657715,102.30094909667969,37.715457916259766,,12.86295223236084,98.72977447509766,28.092695236206055,50.39939498901367,29.5636043548584,,25.474111557006836,27.140567779541016,,10.693126678466797,42.4387092590332
2008-01-23,64.92081451416016,,34.46467208862305,22.418724060058594,,,28.651330947875977,,39.03595733642578,49.14828872680664,28.28221893310547,4.465545654296875,9.3126859664917,22.251941680908203,2.074040651321411,,16.731225967407227,23.293304443359375,,,,,,32.57392883300781,1100.0889892578125,40.30540084838867,7.591926574707031,102.35133361816406,37.37396240234375,,13.025052070617676,99.6680908203125,26.96327018737793,52.52417755126953,28.59528923034668,,24.50301170349121,27.176416397094727,,10.665559768676758,42.95341110229492
2008-01-24,66.12212371826172,,35.02766799926758,23.211301803588867,,,29.745790481567383,,40.09992218017578,50.10971450805664,29.28471565246582,4.499756813049316,9.828014373779297,22.53492546081543,2.127887010574341,,17.258317947387695,23.8156681060791,,,,,,33.47798538208008,1138.111083984375,44.73927307128906,7.582001686096191,106.57959747314453,37.999080657958984,,13.335180282592773,101.79920196533203,28.208332061767578,52.511112213134766,28.98948097229004,,25.69261360168457,28.344423294067383,,11.003173828125,44.265953063964844
