日期,收盘价,当日操作,策略仓位,策略持股,策略现金,基准净值,策略净值,动能得分,估值得分,广度得分,相对得分,复合雷达总分,成分股50MA广度
2012-01-03,10.581380844116213,HOLD,1.0,94.5056240515198,0.0,1000.0000000000001,1000.0000000000001,16.865079365079367,2.674897119341564,9.5679012345679,6.790123456790123,9.981995884773664,0.13333333333333333
2012-01-04,10.492067337036133,HOLD,1.0,94.5056240515198,0.0,991.5593712771673,991.5593712771673,13.88888888888889,1.4373716632443532,9.650924024640657,3.9014373716632447,8.218400638831849,0.13333333333333333
2012-01-05,10.616327285766602,HOLD,1.0,94.5056240515198,0.0,1003.3026352765501,1003.3026352765501,18.849206349206348,1.8442622950819672,9.73360655737705,4.918032786885246,10.229394353369763,0.13333333333333333
2012-01-06,10.653217315673828,HOLD,1.0,94.5056240515198,0.0,1006.7889505742118,1006.7889505742118,20.634920634920633,1.8404907975460123,9.815950920245399,5.316973415132924,10.933878663940012,0.2
2012-01-09,10.622152328491213,HOLD,1.0,94.5056240515198,0.0,1003.8531345743662,1003.8531345743662,19.444444444444446,0.8163265306122449,9.89795918367347,5.714285714285714,10.341269841269842,0.2
2012-01-10,10.775527954101562,HOLD,1.0,94.5056240515198,0.0,1018.3479937869646,1018.3479937869646,25.0,4.480651731160896,20.162932790224033,8.146639511201629,16.132892057026478,0.26666666666666666
2012-01-11,10.845426559448242,HOLD,1.0,94.5056240515198,0.0,1024.9538051055836,1024.9538051055836,26.984126984126984,3.861788617886179,23.170731707317074,9.146341463414634,17.57452574525745,0.26666666666666666
2012-01-12,10.91338062286377,HOLD,1.0,94.5056240515198,0.0,1031.3758462755045,1031.3758462755045,28.76984126984127,5.273833671399594,25.557809330628807,10.141987829614605,19.298653369393733,0.26666666666666666
2012-01-13,10.83377742767334,HOLD,1.0,94.5056240515198,0.0,1023.8528966375379,1023.8528966375379,26.984126984126984,3.2388663967611335,22.469635627530366,9.109311740890687,17.237966711650923,0.26666666666666666
2012-01-17,10.880374908447266,HOLD,1.0,94.5056240515198,0.0,1028.2566206373065,1028.2566206373065,27.976190476190478,3.4343434343434343,24.646464646464647,8.282828282828284,18.054292929292927,0.26666666666666666
2012-01-18,11.128890991210938,HOLD,1.0,94.5056240515198,0.0,1051.7427881257265,1051.7427881257265,54.166666666666664,7.862903225806452,31.85483870967742,12.298387096774194,30.73252688172043,0.26666666666666666
2012-01-19,11.295862197875977,HOLD,1.0,94.5056240515198,0.0,1067.5225062102413,1067.5225062102413,54.166666666666664,27.565392354124747,35.412474849094565,13.279678068410464,36.694751844399725,0.4
2012-01-20,11.383234024047852,HOLD,1.0,94.5056240515198,0.0,1075.7796351671352,1075.7796351671352,54.166666666666664,31.52610441767068,36.34538152610442,15.060240963855422,38.185240963855414,0.4666666666666667
2012-01-23,11.344404220581056,HOLD,1.0,94.5056240515198,0.0,1072.1100003587078,1072.1100003587078,54.166666666666664,31.462925851703403,40.88176352705411,14.629258517034069,39.23889445557782,0.3333333333333333
2012-01-24,11.445361137390137,HOLD,1.0,94.5056240515198,0.0,1081.6509967840673,1081.6509967840673,54.166666666666664,30.2,43.4,18.4,40.11833333333333,0.4
2012-01-25,11.524967193603516,HOLD,1.0,94.5056240515198,0.0,1089.174216804793,1089.174216804793,54.166666666666664,16.56686626746507,42.91417165668663,15.968063872255488,36.22380239520958,0.4666666666666667
2012-01-26,11.47448444366455,HOLD,1.0,94.5056240515198,0.0,1084.4033130179744,1084.4033130179744,53.769841269841265,11.952191235059761,38.84462151394422,16.135458167330675,33.938966356795035,0.4666666666666667
2012-01-27,11.528847694396973,HOLD,1.0,94.5056240515198,0.0,1089.5409459539112,1089.5409459539112,53.769841269841265,12.127236580516898,43.141153081510936,17.296222664015904,35.23097525955379,0.4666666666666667
2012-01-30,11.47448444366455,HOLD,1.0,94.5056240515198,0.0,1084.4033130179744,1084.4033130179744,53.17460317460318,10.714285714285714,38.78968253968254,15.476190476190476,33.30853174603174,0.4666666666666667
2012-01-31,11.490018844604492,HOLD,1.0,94.5056240515198,0.0,1085.87140127307,1085.87140127307,55.158730158730165,10.891089108910892,39.88095238095239,16.071428571428573,34.40928021373566,0.4666666666666667
2012-02-01,11.70941162109375,HOLD,1.0,179.90701161556825,0.0,2106.605252527583,2106.605252527583,55.75396825396825,16.205533596837945,47.22222222222222,28.373015873015873,39.62678022460631,0.5333333333333333
2012-02-02,11.789016723632812,HOLD,1.0,179.90701161556825,0.0,2120.9267686347366,2120.9267686347366,56.15079365079365,17.554240631163708,53.17460317460318,36.30952380952381,42.78141730064807,0.5333333333333333
2012-02-03,12.00258445739746,HOLD,1.0,179.90701161556825,0.0,2159.3491013938437,2159.3491013938437,65.27777777777779,37.40157480314961,68.65079365079364,46.03174603174603,56.265076240469945,0.5333333333333333
2012-02-06,11.948219299316406,HOLD,1.0,179.90701161556825,0.0,2149.5684282674733,2149.5684282674733,64.88095238095238,28.290766208251473,59.72222222222222,41.269841269841265,50.902056631427946,0.5333333333333333
2012-02-07,11.998702049255373,HOLD,1.0,179.90701161556825,0.0,2158.650628947129,2158.650628947129,65.07936507936508,37.05882352941177,65.67460317460318,45.43650793650794,55.2766106442577,0.5333333333333333
2012-02-08,12.018115997314451,HOLD,1.0,179.90701161556825,0.0,2162.143334326098,2162.143334326098,68.45238095238095,37.37769080234833,68.5515873015873,40.27777777777778,56.482319525983904,0.5333333333333333
2012-02-09,12.167616844177246,HOLD,1.0,179.90701161556825,0.0,2189.0395849191796,2189.0395849191796,68.65079365079364,45.703125,68.45238095238095,52.38095238095239,60.42379712301587,0.5333333333333333
2012-02-10,11.990939140319824,HOLD,1.0,179.90701161556825,0.0,2157.2540271990906,2157.2540271990906,67.85714285714286,31.57894736842105,49.60317460317461,38.2936507936508,49.78957811194654,0.5333333333333333
2012-02-13,12.101602554321287,HOLD,1.0,179.90701161556825,0.0,2177.1631513072703,2177.1631513072703,69.44444444444444,37.93774319066148,58.13492063492064,40.07936507936508,54.335626273855844,0.5333333333333333
2012-02-14,12.146258354187012,HOLD,1.0,179.90701161556825,0.0,2185.1970428124155,2185.1970428124155,69.64285714285714,31.844660194174757,81.74603174603175,42.65873015873016,59.171482508861146,0.4666666666666667
2012-02-15,12.070538520812988,HOLD,1.0,179.90701161556825,0.0,2171.5745138700663,2171.5745138700663,68.84920634920636,30.23255813953488,75.1984126984127,46.82539682539682,57.47877445551864,0.4666666666666667
2012-02-16,12.293815612792969,HOLD,1.0,179.90701161556825,0.0,2211.743628250399,2211.743628250399,69.84126984126983,40.232108317214696,67.95634920634922,60.317460317460316,60.53917787295447,0.5333333333333333
2012-02-17,12.169559478759766,HOLD,1.0,179.90701161556825,0.0,2189.389078501582,2189.389078501582,69.64285714285714,37.83783783783784,53.17460317460318,43.452380952380956,53.645967395967396,0.5333333333333333
2012-02-21,12.089953422546388,HOLD,1.0,179.90701161556825,0.0,2175.0673908217323,2175.0673908217323,68.45238095238095,36.80154142581888,46.82539682539682,29.563492063492063,49.29959170566107,0.5333333333333333
2012-02-22,12.119077682495115,HOLD,1.0,179.90701161556825,0.0,2180.3070493946225,2180.3070493946225,70.23809523809523,29.423076923076923,49.801587301587304,41.269841269841265,50.579975579975574,0.5333333333333333
2012-02-23,12.181208610534668,HOLD,1.0,179.90701161556825,0.0,2191.4848389871204,2191.4848389871204,70.23809523809523,26.48752399232246,53.17460317460318,40.27777777777778,50.540531791731404,0.5333333333333333
2012-02-24,12.322937965393066,HOLD,1.0,179.90701161556825,0.0,2216.9829436778973,2216.9829436778973,70.23809523809523,33.33333333333333,68.05555555555556,59.523809523809526,58.85912698412697,0.5333333333333333
2012-02-27,12.315173149108888,HOLD,1.0,179.90701161556825,0.0,2215.585998784467,2215.585998784467,70.43650793650794,30.401529636711285,64.0873015873016,55.952380952380956,56.66784272663814,0.5333333333333333
2012-02-28,12.31711196899414,HOLD,1.0,179.90701161556825,0.0,2215.9348060760835,2215.9348060760835,70.03968253968253,32.25190839694657,64.48412698412699,35.714285714285715,54.05504059130013,0.5333333333333333
2012-02-29,12.235567092895508,HOLD,1.0,179.90701161556825,0.0,2201.264311104617,2201.264311104617,69.64285714285714,34.476190476190474,55.55555555555556,32.73809523809524,51.79365079365079,0.5333333333333333
2012-03-01,12.394771575927734,HOLD,1.0,260.58619104813886,0.0,3229.906313882746,3229.906313882746,69.84126984126983,45.247148288973385,67.95634920634922,43.452380952380956,59.263175961132234,0.5333333333333333
2012-03-02,12.30740451812744,HOLD,1.0,260.58619104813886,0.0,3207.139665067484,3207.139665067484,69.24603174603175,41.745730550284634,55.75396825396825,33.53174603174603,53.64079771693624,0.5333333333333333
2012-03-05,12.179266929626465,HOLD,1.0,260.58619104813886,0.0,3173.7487789499214,3173.7487789499214,68.65079365079364,42.42424242424242,45.83333333333333,35.91269841269841,51.47907647907647,0.5333333333333333
2012-03-06,11.987052917480469,HOLD,1.0,260.58619104813886,0.0,3123.6604616587156,3123.6604616587156,66.26984126984127,35.916824196597354,42.06349206349206,27.380952380952383,46.79666636660966,0.4666666666666667
2012-03-07,12.119077682495115,HOLD,1.0,260.58619104813886,0.0,3158.064292297908,3158.064292297908,67.85714285714286,38.113207547169814,43.452380952380956,33.92857142857143,49.23068283917341,0.5333333333333333
2012-03-08,12.297697067260742,HOLD,1.0,260.58619104813886,0.0,3204.6100374213447,3204.6100374213447,68.45238095238095,44.44444444444444,54.96031746031746,43.84920634920635,55.38690476190476,0.5333333333333333
2012-03-09,12.412249565124512,HOLD,1.0,260.58619104813886,0.0,3234.4608365147146,3234.4608365147146,70.63492063492063,43.609022556390975,69.04761904761905,57.738095238095234,61.54709690893902,0.5333333333333333
2012-03-12,12.418076515197754,HOLD,1.0,260.58619104813886,0.0,3235.9792592397284,3235.9792592397284,70.43650793650794,43.52720450281426,69.14682539682539,58.730158730158735,61.6308090622115,0.5333333333333333
2012-03-13,12.705419540405272,HOLD,1.0,260.58619104813886,0.0,3310.8568837028047,3310.8568837028047,71.03174603174604,53.37078651685393,69.24603174603175,69.44444444444444,65.9319823434992,0.5333333333333333
2012-03-14,12.60446071624756,HOLD,1.0,260.58619104813886,0.0,3284.5484082628477,3284.5484082628477,70.83333333333334,64.11214953271028,54.563492063492056,44.24603174603175,61.097481827622005,0.5333333333333333
2012-03-15,12.724839210510254,HOLD,1.0,260.58619104813886,0.0,3315.9173815668732,3315.9173815668732,71.42857142857143,65.85820895522389,69.54365079365078,62.10317460317461,68.16594112769486,0.5333333333333333
2012-03-16,12.664647102355955,HOLD,1.0,260.58619104813886,0.0,3300.2321493717873,3300.2321493717873,70.83333333333334,62.38361266294227,59.32539682539682,53.17460317460318,63.19510951494191,0.5333333333333333
2012-03-19,12.701537132263184,HOLD,1.0,260.58619104813886,0.0,3309.8451817529635,3309.8451817529635,71.62698412698413,70.07434944237917,63.29365079365079,44.24603174603175,65.04834926535669,0.5333333333333333
2012-03-20,12.588930130004885,HOLD,1.0,260.58619104813886,0.0,3280.5013519491245,3280.5013519491245,70.23809523809523,66.79035250463822,52.976190476190474,25.595238095238095,58.36425479282622,0.5333333333333333
2012-03-21,12.668529510498049,HOLD,1.0,260.58619104813886,0.0,3301.2438513216293,3301.2438513216293,71.03174603174604,62.96296296296296,59.92063492063492,35.317460317460316,60.87962962962962,0.5333333333333333
2012-03-22,12.561747550964355,HOLD,1.0,260.58619104813886,0.0,3273.417947214088,3273.417947214088,71.42857142857143,60.258780036968574,66.46825396825396,25.595238095238095,60.52104421559135,0.4666666666666667
2012-03-23,12.583101272583008,HOLD,1.0,260.58619104813886,0.0,3278.9824321953947,3278.9824321953947,71.62698412698413,57.19557195571956,85.11904761904762,29.563492063492063,65.08262314766004,0.4
2012-03-26,12.837641716003418,HOLD,1.0,260.58619104813886,0.0,3345.3121568140236,3345.3121568140236,72.42063492063492,67.21915285451196,70.43650793650794,33.33333333333333,64.7611374199772,0.5333333333333333
2012-03-27,12.794894218444824,HOLD,1.0,260.58619104813886,0.0,3334.17274924839,3334.17274924839,77.57936507936508,59.19117647058824,61.50793650793651,26.38888888888889,61.2858893557423,0.5333333333333333
2012-03-28,12.688029289245604,HOLD,1.0,260.58619104813886,0.0,3306.3252243917364,3306.3252243917364,75.79365079365078,58.532110091743114,51.587301587301596,20.03968253968254,57.06358307849133,0.5333333333333333
2012-03-29,12.812382698059082,HOLD,1.0,260.58619104813886,0.0,3338.730005538293,3338.730005538293,77.38095238095238,59.34065934065934,63.095238095238095,42.857142857142854,64.12087912087912,0.5333333333333333
2012-03-30,12.798779487609863,HOLD,1.0,260.58619104813886,0.0,3335.1851967413045,3335.1851967413045,76.5873015873016,64.16819012797075,61.50793650793651,43.25396825396825,64.7126824526276,0.5333333333333333
2012-04-02,12.938678741455078,HOLD,1.0,337.8738353263784,0.0,4371.641010431306,4371.641010431306,79.76190476190477,60.76642335766424,70.3373015873016,43.25396825396825,67.18069314100336,0.5333333333333333
2012-04-03,12.89398956298828,HOLD,1.0,337.8738353263784,0.0,4356.541706305144,4356.541706305144,77.97619047619048,69.76320582877959,60.912698412698404,35.11904761904761,65.22849986989331,0.5333333333333333
2012-04-04,12.670540809631348,HOLD,1.0,337.8738353263784,0.0,4281.044219009539,4281.044219009539,72.22222222222221,65.27272727272727,84.72222222222221,28.76984126984127,67.09199134199133,0.3333333333333333
2012-04-05,12.693854331970217,HOLD,1.0,337.8738353263784,0.0,4288.921248217141,4288.921248217141,73.01587301587301,61.34301270417423,45.23809523809524,21.825396825396826,55.474642064932446,0.5333333333333333
2012-04-09,12.511210441589355,HOLD,1.0,337.8738353263784,0.0,4227.2106564752285,4227.2106564752285,70.23809523809523,48.55072463768116,78.17460317460318,16.46825396825397,58.7349033816425,0.26666666666666666
2012-04-10,12.243072509765623,HOLD,1.0,337.8738353263784,0.0,4136.61386505346,4136.61386505346,66.86507936507937,31.82640144665461,44.047619047619044,14.880952380952381,44.603425758489045,0.2
